,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,555,135,555,(X)
Estimate Households By Type Total Households Married-Couple Household,260,85,46.8,15.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,87,35,15.7,6.0
Estimate Households By Type Total Households Cohabiting Couple Household,11,17,2.0,3.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,6.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",104,68,18.7,10.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,6.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",89,69,16.0,11.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",89,69,16.0,11.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",180,104,32.4,14.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",13,19,2.3,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",167,101,30.1,14.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",56,57,10.1,9.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,100,39,18.0,6.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,260,85,46.8,13.3
Estimate Households By Type Total Households Average Household Size,2.06,0.31,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.90,0.31,(X),(X)
Estimate Relationship Population In Households,1141,265,1141,(X)
Estimate Relationship Population In Households Householder,555,135,48.6,7.2
Estimate Relationship Population In Households Spouse,264,87,23.1,5.2
Estimate Relationship Population In Households Unmarried Partner,14,22,1.2,1.9
Estimate Relationship Population In Households Child,255,89,22.3,5.2
Estimate Relationship Population In Households Other Relatives,0,13,0.0,3.4
Estimate Relationship Population In Households Other Nonrelatives,53,58,4.6,4.9
Estimate Marital Status Males 15 Years And Over,468,123,468,(X)
Estimate Marital Status Males 15 Years And Over Never Married,127,63,27.1,10.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",264,88,56.4,12.3
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,8.2
Estimate Marital Status Males 15 Years And Over Widowed,13,20,2.8,4.4
Estimate Marital Status Males 15 Years And Over Divorced,64,62,13.7,13.0
Estimate Marital Status Females 15 Years And Over,481,129,481,(X)
Estimate Marital Status Females 15 Years And Over Never Married,124,78,25.8,13.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",260,83,54.1,15.7
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,8.0
Estimate Marital Status Females 15 Years And Over Widowed,69,62,14.3,11.5
Estimate Marital Status Females 15 Years And Over Divorced,28,37,5.8,7.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,17,24,17,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,79.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,270,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",84,119,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",-666666666,-222222222,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",293,186,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,239,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
