,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1104,116,1104,(X)
Estimate Households By Type Total Households Married-Couple Household,596,101,54.0,6.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,161,49,14.6,4.5
Estimate Households By Type Total Households Cohabiting Couple Household,118,54,10.7,4.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,20,23,1.8,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",172,70,15.6,6.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",142,68,12.9,6.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",58,44,5.3,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",218,70,19.7,6.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",36,38,3.3,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",129,49,11.7,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",58,32,5.3,2.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,247,50,22.4,4.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,366,69,33.2,6.4
Estimate Households By Type Total Households Average Household Size,2.36,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.85,0.25,(X),(X)
Estimate Relationship Population In Households,2610,276,2610,(X)
Estimate Relationship Population In Households Householder,1104,116,42.3,2.9
Estimate Relationship Population In Households Spouse,623,110,23.9,2.8
Estimate Relationship Population In Households Unmarried Partner,127,59,4.9,2.2
Estimate Relationship Population In Households Child,613,113,23.5,3.6
Estimate Relationship Population In Households Other Relatives,98,58,3.8,2.2
Estimate Relationship Population In Households Other Nonrelatives,45,36,1.7,1.4
Estimate Marital Status Males 15 Years And Over,1220,171,1220,(X)
Estimate Marital Status Males 15 Years And Over Never Married,376,90,30.8,5.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",634,109,52.0,6.2
Estimate Marital Status Males 15 Years And Over Separated,17,23,1.4,1.8
Estimate Marital Status Males 15 Years And Over Widowed,45,39,3.7,3.2
Estimate Marital Status Males 15 Years And Over Divorced,148,63,12.1,4.9
Estimate Marital Status Females 15 Years And Over,1060,132,1060,(X)
Estimate Marital Status Females 15 Years And Over Never Married,174,46,16.4,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",617,107,58.2,7.3
Estimate Marital Status Females 15 Years And Over Separated,27,17,2.5,1.6
Estimate Marital Status Females 15 Years And Over Widowed,74,38,7.0,3.5
Estimate Marital Status Females 15 Years And Over Divorced,168,68,15.8,6.0
