,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,15062,472,15062,(X)
Estimate Households By Type Total Households Married-Couple Household,4361,405,29.0,2.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1322,212,8.8,1.4
Estimate Households By Type Total Households Cohabiting Couple Household,1712,341,11.4,2.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,620,215,4.1,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3041,443,20.2,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",144,101,1.0,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2093,398,13.9,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",717,243,4.8,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",5948,447,39.5,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1864,268,12.4,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2434,303,16.2,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1153,181,7.7,1.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,4573,271,30.4,1.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4338,338,28.8,2.0
Estimate Households By Type Total Households Average Household Size,2.48,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.09,0.10,(X),(X)
Estimate Relationship Population In Households,37329,241,37329,(X)
Estimate Relationship Population In Households Householder,15062,472,40.3,1.3
Estimate Relationship Population In Households Spouse,4380,419,11.7,1.1
Estimate Relationship Population In Households Unmarried Partner,1914,403,5.1,1.1
Estimate Relationship Population In Households Child,12173,646,32.6,1.7
Estimate Relationship Population In Households Other Relatives,2606,401,7.0,1.1
Estimate Relationship Population In Households Other Nonrelatives,1194,361,3.2,1.0
Estimate Marital Status Males 15 Years And Over,14746,678,14746,(X)
Estimate Marital Status Males 15 Years And Over Never Married,8005,734,54.3,3.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5007,435,34.0,3.2
Estimate Marital Status Males 15 Years And Over Separated,199,87,1.3,0.6
Estimate Marital Status Males 15 Years And Over Widowed,419,160,2.8,1.1
Estimate Marital Status Males 15 Years And Over Divorced,1116,255,7.6,1.7
Estimate Marital Status Females 15 Years And Over,16364,570,16364,(X)
Estimate Marital Status Females 15 Years And Over Never Married,8048,645,49.2,3.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4850,411,29.6,2.6
Estimate Marital Status Females 15 Years And Over Separated,481,143,2.9,0.9
Estimate Marital Status Females 15 Years And Over Widowed,1119,197,6.8,1.2
Estimate Marital Status Females 15 Years And Over Divorced,1866,333,11.4,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,457,186,457,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",283,160,61.9,17.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",39,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",48,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",1,2,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",90,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",14,10,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,710,223,710,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,253,192,35.6,21.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,28,0.0,5.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,59,78,8.3,10.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,165,170,23.2,21.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,29,42,4.1,6.1
