,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2254,168,2254,(X)
Estimate Households By Type Total Households Married-Couple Household,1071,154,47.5,7.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,371,99,16.5,5.0
Estimate Households By Type Total Households Cohabiting Couple Household,146,98,6.5,4.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,7,14,0.3,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",344,154,15.3,6.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",31,47,1.4,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",219,112,9.7,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",155,92,6.9,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",693,190,30.7,7.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",60,52,2.7,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",404,149,17.9,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",258,146,11.4,6.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,515,89,22.8,4.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,920,189,40.8,6.8
Estimate Households By Type Total Households Average Household Size,2.30,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.82,0.20,(X),(X)
Estimate Relationship Population In Households,5174,106,5174,(X)
Estimate Relationship Population In Households Householder,2254,168,43.6,3.2
Estimate Relationship Population In Households Spouse,1065,145,20.6,2.8
Estimate Relationship Population In Households Unmarried Partner,181,129,3.5,2.5
Estimate Relationship Population In Households Child,1262,246,24.4,4.7
Estimate Relationship Population In Households Other Relatives,220,127,4.3,2.5
Estimate Relationship Population In Households Other Nonrelatives,192,133,3.7,2.6
Estimate Marital Status Males 15 Years And Over,2085,213,2085,(X)
Estimate Marital Status Males 15 Years And Over Never Married,707,186,33.9,7.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1056,158,50.6,7.8
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.9
Estimate Marital Status Males 15 Years And Over Widowed,96,66,4.6,3.0
Estimate Marital Status Males 15 Years And Over Divorced,226,110,10.8,5.1
Estimate Marital Status Females 15 Years And Over,2475,235,2475,(X)
Estimate Marital Status Females 15 Years And Over Never Married,703,237,28.4,8.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1181,173,47.7,7.9
Estimate Marital Status Females 15 Years And Over Separated,32,34,1.3,1.3
Estimate Marital Status Females 15 Years And Over Widowed,315,176,12.7,6.7
Estimate Marital Status Females 15 Years And Over Divorced,244,92,9.9,3.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,42,52,42,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",7,14,16.7,34.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",13,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",42,53,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,206,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",101,127,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,91,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,52,57,52,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,28,48,53.8,53.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,45.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,45.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,45.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,28,48,53.8,53.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,28,48,28,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,14,24,50.0,7.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,28,48,100.0,62.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1383,249,1383,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",41,48,3.0,3.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,61,58,4.4,4.2
