,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7980,293,7980,(X)
Estimate Households By Type Total Households Married-Couple Household,4968,247,62.3,3.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2600,239,32.6,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,363,117,4.5,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,113,70,1.4,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1125,262,14.1,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,24,0.3,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",874,236,11.0,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",183,103,2.3,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1524,263,19.1,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",206,107,2.6,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1040,212,13.0,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",406,136,5.1,1.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3057,216,38.3,3.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1980,253,24.8,2.9
Estimate Households By Type Total Households Average Household Size,2.60,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.14,0.11,(X),(X)
Estimate Relationship Population In Households,20764,99,20764,(X)
Estimate Relationship Population In Households Householder,7980,293,38.4,1.4
Estimate Relationship Population In Households Spouse,4893,269,23.6,1.3
Estimate Relationship Population In Households Unmarried Partner,351,111,1.7,0.5
Estimate Relationship Population In Households Child,6507,413,31.3,2.0
Estimate Relationship Population In Households Other Relatives,626,193,3.0,0.9
Estimate Relationship Population In Households Other Nonrelatives,407,221,2.0,1.1
Estimate Marital Status Males 15 Years And Over,8449,391,8449,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2335,351,27.6,3.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5272,248,62.4,3.6
Estimate Marital Status Males 15 Years And Over Separated,77,78,0.9,0.9
Estimate Marital Status Males 15 Years And Over Widowed,154,74,1.8,0.9
Estimate Marital Status Males 15 Years And Over Divorced,611,140,7.2,1.5
Estimate Marital Status Females 15 Years And Over,8281,344,8281,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1846,292,22.3,3.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5079,287,61.3,4.0
Estimate Marital Status Females 15 Years And Over Separated,196,135,2.4,1.6
Estimate Marital Status Females 15 Years And Over Widowed,398,103,4.8,1.2
