,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,19395,695,19395,(X)
Estimate Households By Type Total Households Married-Couple Household,5928,546,30.6,2.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2218,319,11.4,1.6
Estimate Households By Type Total Households Cohabiting Couple Household,990,263,5.1,1.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,376,165,1.9,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3148,401,16.2,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",163,123,0.8,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1618,283,8.3,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",539,201,2.8,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",9329,643,48.1,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",2993,410,15.4,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3041,528,15.7,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1363,305,7.0,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,6989,654,36.0,3.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,5840,498,30.1,2.4
Estimate Households By Type Total Households Average Household Size,2.87,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.40,0.12,(X),(X)
Estimate Relationship Population In Households,55618,2549,55618,(X)
Estimate Relationship Population In Households Householder,19395,695,34.9,1.3
Estimate Relationship Population In Households Spouse,5756,535,10.3,0.9
Estimate Relationship Population In Households Unmarried Partner,1041,309,1.9,0.5
Estimate Relationship Population In Households Child,18549,1462,33.4,1.9
Estimate Relationship Population In Households Other Relatives,7405,1085,13.3,1.7
Estimate Relationship Population In Households Other Nonrelatives,3472,685,6.2,1.2
Estimate Marital Status Males 15 Years And Over,20777,1241,20777,(X)
Estimate Marital Status Males 15 Years And Over Never Married,10612,917,51.1,3.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",7711,662,37.1,2.4
Estimate Marital Status Males 15 Years And Over Separated,518,212,2.5,1.0
Estimate Marital Status Males 15 Years And Over Widowed,425,147,2.0,0.7
Estimate Marital Status Males 15 Years And Over Divorced,1511,402,7.3,1.8
Estimate Marital Status Females 15 Years And Over,25081,1312,25081,(X)
Estimate Marital Status Females 15 Years And Over Never Married,12626,1055,50.3,2.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",6765,567,27.0,2.1
Estimate Marital Status Females 15 Years And Over Separated,1264,255,5.0,1.0
Estimate Marital Status Females 15 Years And Over Widowed,1691,305,6.7,1.2
Estimate Marital Status Females 15 Years And Over Divorced,2735,475,10.9,1.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,704,231,704,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",422,165,59.9,15.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",37,15,(X),(X)
