,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2990,332,2990,(X)
Estimate Households By Type Total Households Married-Couple Household,1676,206,56.1,5.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,839,161,28.1,4.3
Estimate Households By Type Total Households Cohabiting Couple Household,164,71,5.5,2.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,19,0.0,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",400,127,13.4,4.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",104,93,3.5,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",234,77,7.8,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",122,54,4.1,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",750,246,25.1,6.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",104,62,3.5,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",535,228,17.9,6.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",309,128,10.3,4.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1047,196,35.0,5.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1020,151,34.1,5.0
Estimate Households By Type Total Households Average Household Size,2.53,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.06,0.13,(X),(X)
Estimate Relationship Population In Households,7579,846,7579,(X)
Estimate Relationship Population In Households Householder,2990,332,39.5,2.4
Estimate Relationship Population In Households Spouse,1666,210,22.0,2.1
Estimate Relationship Population In Households Unmarried Partner,160,71,2.1,1.0
Estimate Relationship Population In Households Child,2301,374,30.4,2.7
Estimate Relationship Population In Households Other Relatives,161,92,2.1,1.2
Estimate Relationship Population In Households Other Nonrelatives,301,186,4.0,2.3
Estimate Marital Status Males 15 Years And Over,3421,397,3421,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1373,293,40.1,5.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1834,208,53.6,5.6
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.2
Estimate Marital Status Males 15 Years And Over Widowed,58,45,1.7,1.4
Estimate Marital Status Males 15 Years And Over Divorced,156,102,4.6,2.9
Estimate Marital Status Females 15 Years And Over,4340,559,4340,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2012,387,46.4,5.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1712,218,39.4,5.5
Estimate Marital Status Females 15 Years And Over Separated,59,75,1.4,1.8
Estimate Marital Status Females 15 Years And Over Widowed,387,203,8.9,4.1
Estimate Marital Status Females 15 Years And Over Divorced,170,90,3.9,1.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,136,97,136,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",5,10,3.7,8.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",3,5,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",47,33,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",4,10,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",73,79,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",60,47,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,26,26,26,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,19,0.0,64.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,64.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,64.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,64.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,64.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,19,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,19,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3400,470,3400,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",141,70,4.1,2.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,79,49,2.3,1.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),794,198,23.4,5.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),605,264,17.8,6.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1781,311,52.4,6.2
Estimate Educational Attainment Population 25 Years And Over,5455,588,5455,(X)
