,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1800,168,1800,(X)
Estimate Households By Type Total Households Married-Couple Household,1297,158,72.1,5.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,535,98,29.7,6.4
Estimate Households By Type Total Households Cohabiting Couple Household,110,71,6.1,3.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,20,22,1.1,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",156,88,8.7,5.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,19,0.0,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",113,73,6.3,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",61,44,3.4,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",237,100,13.2,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,22,1.1,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",196,95,10.9,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",139,76,7.7,4.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,652,85,36.2,7.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,716,113,39.8,4.8
Estimate Households By Type Total Households Average Household Size,2.90,0.27,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.31,0.30,(X),(X)
Estimate Relationship Population In Households,5215,27,5215,(X)
Estimate Relationship Population In Households Householder,1800,168,34.5,3.2
Estimate Relationship Population In Households Spouse,1275,158,24.4,3.0
Estimate Relationship Population In Households Unmarried Partner,110,70,2.1,1.3
Estimate Relationship Population In Households Child,1657,274,31.8,5.2
Estimate Relationship Population In Households Other Relatives,334,375,6.4,7.2
Estimate Relationship Population In Households Other Nonrelatives,39,52,0.7,1.0
Estimate Marital Status Males 15 Years And Over,2128,180,2128,(X)
Estimate Marital Status Males 15 Years And Over Never Married,532,142,25.0,5.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1398,132,65.7,6.7
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.9
Estimate Marital Status Males 15 Years And Over Widowed,55,37,2.6,1.7
Estimate Marital Status Males 15 Years And Over Divorced,143,84,6.7,3.8
Estimate Marital Status Females 15 Years And Over,1991,161,1991,(X)
Estimate Marital Status Females 15 Years And Over Never Married,376,106,18.9,4.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1355,118,68.1,5.8
Estimate Marital Status Females 15 Years And Over Separated,0,19,0.0,2.0
Estimate Marital Status Females 15 Years And Over Widowed,108,66,5.4,3.3
Estimate Marital Status Females 15 Years And Over Divorced,152,85,7.6,4.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,56,50,56,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",12,18,21.4,35.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",32,47,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",63,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,251,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",22,45,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",98,95,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,78,69,78,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,31,50,39.7,47.1
