,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,712,156,712,(X)
Estimate Households By Type Total Households Married-Couple Household,175,47,24.6,7.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,39,21,5.5,3.3
Estimate Households By Type Total Households Cohabiting Couple Household,39,39,5.5,5.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,28,36,3.9,5.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",153,96,21.5,12.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",11,17,1.5,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",76,53,10.7,7.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",7,10,1.0,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",345,135,48.5,13.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,5.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",197,60,27.7,9.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",119,55,16.7,8.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,88,43,12.4,6.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,336,137,47.2,14.0
Estimate Households By Type Total Households Average Household Size,2.19,0.51,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.86,0.73,(X),(X)
Estimate Relationship Population In Households,1561,576,1561,(X)
Estimate Relationship Population In Households Householder,712,156,45.6,11.1
Estimate Relationship Population In Households Spouse,165,44,10.6,5.0
Estimate Relationship Population In Households Unmarried Partner,52,53,3.3,3.7
Estimate Relationship Population In Households Child,560,450,35.9,17.9
Estimate Relationship Population In Households Other Relatives,72,47,4.6,3.5
Estimate Relationship Population In Households Other Nonrelatives,0,13,0.0,2.5
Estimate Marital Status Males 15 Years And Over,799,186,799,(X)
Estimate Marital Status Males 15 Years And Over Never Married,417,153,52.2,10.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",218,65,27.3,8.2
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,4.9
Estimate Marital Status Males 15 Years And Over Widowed,32,27,4.0,3.2
Estimate Marital Status Males 15 Years And Over Divorced,132,75,16.5,9.2
Estimate Marital Status Females 15 Years And Over,1111,555,1111,(X)
Estimate Marital Status Females 15 Years And Over Never Married,509,449,45.8,21.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",180,56,16.2,11.3
Estimate Marital Status Females 15 Years And Over Separated,100,123,9.0,7.7
Estimate Marital Status Females 15 Years And Over Widowed,167,83,15.0,10.8
Estimate Marital Status Females 15 Years And Over Divorced,155,57,14.0,10.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,81,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,77,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,633,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,100,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,341,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,20,15,20,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,10,14,50.0,50.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,73.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,73.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,73.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,10,14,50.0,50.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,10,14,10,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,10,14,100.0,100.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,0.0,100.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,558,454,558,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",0,13,0.0,6.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,0,13,0.0,6.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),106,57,19.0,23.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),65,48,11.6,14.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,387,450,69.4,33.6
Estimate Educational Attainment Population 25 Years And Over,1466,251,1466,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,11,14,0.8,0.9
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",20,24,1.4,1.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),448,159,30.6,8.7
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",209,82,14.3,5.7
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,79,57,5.4,3.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,399,181,27.2,10.0
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,300,84,20.5,6.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,1435,247,97.9,1.8
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,699,182,47.7,9.3
Estimate Veteran Status Civilian Population 18 Years And Over,1845,581,1845,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,191,122,10.4,7.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,1752,580,1752,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,343,116,19.6,8.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,171,62,171,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,10,15,5.8,8.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,1165,485,1165,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,197,110,16.9,11.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,416,128,416,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,136,52,32.7,13.3
Estimate Residence 1 Year Ago Population 1 Year And Over,2016,587,2016,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,1828,580,90.7,4.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),188,86,9.3,4.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,184,82,9.1,4.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,92,68,4.6,3.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,92,74,4.6,3.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,77,56,3.8,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,15,34,0.7,1.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,4,10,0.2,0.5
