,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2345,181,2345,(X)
Estimate Households By Type Total Households Married-Couple Household,1438,174,61.3,7.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,498,133,21.2,6.0
Estimate Households By Type Total Households Cohabiting Couple Household,181,107,7.7,4.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,11,18,0.5,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",433,183,18.5,7.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,19,0.0,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",370,185,15.8,7.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",162,120,6.9,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",293,115,12.5,4.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",36,34,1.5,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",188,96,8.0,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",135,89,5.8,3.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,612,115,26.1,5.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,807,219,34.4,8.3
Estimate Households By Type Total Households Average Household Size,2.53,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.07,0.23,(X),(X)
Estimate Relationship Population In Households,5939,216,5939,(X)
Estimate Relationship Population In Households Householder,2345,181,39.5,2.6
Estimate Relationship Population In Households Spouse,1488,177,25.1,3.0
Estimate Relationship Population In Households Unmarried Partner,192,119,3.2,2.0
Estimate Relationship Population In Households Child,1421,229,23.9,3.8
Estimate Relationship Population In Households Other Relatives,319,170,5.4,2.9
Estimate Relationship Population In Households Other Nonrelatives,174,182,2.9,3.0
Estimate Marital Status Males 15 Years And Over,4215,215,4215,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1849,282,43.9,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1731,196,41.1,5.1
Estimate Marital Status Males 15 Years And Over Separated,49,33,1.2,0.8
Estimate Marital Status Males 15 Years And Over Widowed,59,72,1.4,1.7
Estimate Marital Status Males 15 Years And Over Divorced,527,146,12.5,3.4
Estimate Marital Status Females 15 Years And Over,2303,186,2303,(X)
Estimate Marital Status Females 15 Years And Over Never Married,397,169,17.2,6.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1509,170,65.5,7.9
Estimate Marital Status Females 15 Years And Over Separated,50,41,2.2,1.8
Estimate Marital Status Females 15 Years And Over Widowed,229,124,9.9,5.1
Estimate Marital Status Females 15 Years And Over Divorced,118,73,5.1,3.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,56,46,56,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",42,48,75.0,43.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",115,123,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,45,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,490,(X),(X)
