,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2914,326,2914,(X)
Estimate Households By Type Total Households Married-Couple Household,1303,241,44.7,6.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,639,150,21.9,4.9
Estimate Households By Type Total Households Cohabiting Couple Household,157,72,5.4,2.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,30,27,1.0,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",462,149,15.9,4.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",42,41,1.4,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",357,131,12.3,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",176,91,6.0,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",992,221,34.0,6.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",110,87,3.8,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",583,204,20.0,6.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",294,174,10.1,5.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,890,156,30.5,5.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,926,214,31.8,6.6
Estimate Households By Type Total Households Average Household Size,2.36,0.18,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.09,0.24,(X),(X)
Estimate Relationship Population In Households,6885,736,6885,(X)
Estimate Relationship Population In Households Householder,2914,326,42.3,3.2
Estimate Relationship Population In Households Spouse,1229,220,17.9,2.4
Estimate Relationship Population In Households Unmarried Partner,158,72,2.3,1.0
Estimate Relationship Population In Households Child,2074,407,30.1,4.3
Estimate Relationship Population In Households Other Relatives,353,124,5.1,1.8
Estimate Relationship Population In Households Other Nonrelatives,157,86,2.3,1.2
Estimate Marital Status Males 15 Years And Over,2641,349,2641,(X)
Estimate Marital Status Males 15 Years And Over Never Married,769,265,29.1,7.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1415,234,53.6,7.8
Estimate Marital Status Males 15 Years And Over Separated,14,23,0.5,0.9
Estimate Marital Status Males 15 Years And Over Widowed,96,54,3.6,2.1
Estimate Marital Status Males 15 Years And Over Divorced,347,113,13.1,4.2
Estimate Marital Status Females 15 Years And Over,3268,415,3268,(X)
