,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3364,173,3364,(X)
Estimate Households By Type Total Households Married-Couple Household,2401,159,71.4,3.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1408,154,41.9,4.9
Estimate Households By Type Total Households Cohabiting Couple Household,158,67,4.7,2.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,45,42,1.3,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",347,116,10.3,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,24,0.6,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",236,97,7.0,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",69,41,2.1,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",458,107,13.6,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",56,34,1.7,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",336,99,10.0,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",250,82,7.4,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1537,151,45.7,5.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,947,151,28.2,4.1
Estimate Households By Type Total Households Average Household Size,2.89,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.28,0.13,(X),(X)
Estimate Relationship Population In Households,9710,197,9710,(X)
Estimate Relationship Population In Households Householder,3364,173,34.6,1.6
Estimate Relationship Population In Households Spouse,2407,144,24.8,1.3
Estimate Relationship Population In Households Unmarried Partner,168,71,1.7,0.7
Estimate Relationship Population In Households Child,3298,202,34.0,2.0
Estimate Relationship Population In Households Other Relatives,318,141,3.3,1.5
Estimate Relationship Population In Households Other Nonrelatives,155,120,1.6,1.2
Estimate Marital Status Males 15 Years And Over,3701,187,3701,(X)
Estimate Marital Status Males 15 Years And Over Never Married,870,170,23.5,4.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2516,153,68.0,4.0
Estimate Marital Status Males 15 Years And Over Separated,5,11,0.1,0.3
Estimate Marital Status Males 15 Years And Over Widowed,117,70,3.2,1.9
Estimate Marital Status Males 15 Years And Over Divorced,193,87,5.2,2.3
Estimate Marital Status Females 15 Years And Over,3941,230,3941,(X)
Estimate Marital Status Females 15 Years And Over Never Married,915,206,23.2,4.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2436,165,61.8,4.6
Estimate Marital Status Females 15 Years And Over Separated,15,18,0.4,0.5
Estimate Marital Status Females 15 Years And Over Widowed,355,109,9.0,2.7
Estimate Marital Status Females 15 Years And Over Divorced,220,70,5.6,1.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,92,49,92,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",3,3,3.3,3.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",3,3,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",42,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,130,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",120,69,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",7,10,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,154,71,154,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,34,37,22.1,19.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,22.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,17,25,11.0,15.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,17,28,11.0,16.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,22.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,34,37,34,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,17,28,50.0,50.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,34,37,100.0,56.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2545,303,2545,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",171,72,6.7,2.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,126,60,5.0,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1243,193,48.8,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),608,177,23.9,6.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,397,118,15.6,4.2
Estimate Educational Attainment Population 25 Years And Over,6586,242,6586,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,82,87,1.2,1.3
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",90,58,1.4,0.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),719,176,10.9,2.6
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",727,192,11.0,2.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,292,87,4.4,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2398,318,36.4,4.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2278,348,34.6,5.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,6414,251,97.4,1.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,4676,306,71.0,4.5
Estimate Veteran Status Civilian Population 18 Years And Over,7117,259,7117,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,237,81,3.3,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,9842,177,9842,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,678,172,6.9,1.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2725,242,2725,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,25,31,0.9,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,5771,264,5771,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,320,126,5.5,2.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,1346,217,1346,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,333,127,24.7,8.0
Estimate Residence 1 Year Ago Population 1 Year And Over,9778,179,9778,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,8809,387,90.1,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),969,340,9.9,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,969,340,9.9,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,363,203,3.7,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,606,278,6.2,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,433,270,4.4,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,173,92,1.8,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,19,0.0,0.4
Estimate Place Of Birth Total Population,9842,177,9842,(X)
Estimate Place Of Birth Total Population Native,7964,292,80.9,2.8
Estimate Place Of Birth Total Population Native Born In United States,7868,306,79.9,2.9
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,5758,356,58.5,3.5
Estimate Place Of Birth Total Population Native Born In United States Different State,2110,346,21.4,3.5
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",96,63,1.0,0.6
Estimate Place Of Birth Total Population Foreign Born,1878,277,19.1,2.8
Estimate U.S. Citizenship Status Foreign-Born Population,1878,277,1878,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1192,250,63.5,10.5
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,686,230,36.5,10.5
Estimate Year Of Entry Population Born Outside The United States,1974,290,1974,(X)
Estimate Year Of Entry Population Born Outside The United States Native,96,63,96,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,12,17,12.5,18.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,84,58,87.5,18.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,1878,277,1878,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,536,215,28.5,9.6
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,1342,229,71.5,9.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",1878,277,1878,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",447,219,23.8,10.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",1084,231,57.7,8.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",47,53,2.5,3.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",18,28,1.0,1.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",196,101,10.4,5.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",86,52,4.6,2.7
Estimate Language Spoken At Home Population 5 Years And Over,9181,262,9181,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,7360,406,80.2,3.6
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,1821,333,19.8,3.6
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",490,195,5.3,2.1
Estimate Language Spoken At Home Population 5 Years And Over Spanish,166,101,1.8,1.1
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",40,38,0.4,0.4
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,581,199,6.3,2.2
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",39,36,0.4,0.4
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,977,274,10.6,3.0
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",383,184,4.2,2.0
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,97,87,1.1,0.9
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",28,34,0.3,0.4
Estimate Ancestry Total Population,9842,177,9842,(X)
Estimate Ancestry Total Population American,472,206,4.8,2.1
Estimate Ancestry Total Population Arab,96,80,1.0,0.8
Estimate Ancestry Total Population Czech,0,19,0.0,0.4
Estimate Ancestry Total Population Danish,15,16,0.2,0.2
Estimate Ancestry Total Population Dutch,146,191,1.5,1.9
Estimate Ancestry Total Population English,1722,554,17.5,5.6
Estimate Ancestry Total Population French (Except Basque),283,115,2.9,1.2
Estimate Ancestry Total Population French Canadian,316,149,3.2,1.5
Estimate Ancestry Total Population German,635,213,6.5,2.2
Estimate Ancestry Total Population Greek,47,65,0.5,0.7
Estimate Ancestry Total Population Hungarian,78,54,0.8,0.5
Estimate Ancestry Total Population Irish,1927,524,19.6,5.3
Estimate Ancestry Total Population Italian,1509,313,15.3,3.2
Estimate Ancestry Total Population Lithuanian,72,62,0.7,0.6
Estimate Ancestry Total Population Norwegian,7,10,0.1,0.1
Estimate Ancestry Total Population Polish,327,157,3.3,1.6
Estimate Ancestry Total Population Portuguese,92,68,0.9,0.7
Estimate Ancestry Total Population Russian,220,76,2.2,0.8
Estimate Ancestry Total Population Scotch-Irish,41,39,0.4,0.4
Estimate Ancestry Total Population Scottish,157,79,1.6,0.8
Estimate Ancestry Total Population Slovak,17,19,0.2,0.2
Estimate Ancestry Total Population Subsaharan African,0,19,0.0,0.4
Estimate Ancestry Total Population Swedish,262,171,2.7,1.7
Estimate Ancestry Total Population Swiss,102,110,1.0,1.1
Estimate Ancestry Total Population Ukrainian,19,18,0.2,0.2
Estimate Ancestry Total Population Welsh,5,9,0.1,0.1
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),29,39,0.3,0.4
Estimate Computers And Internet Use Total Households,3364,173,3364,(X)
Estimate Computers And Internet Use Total Households With A Computer,3269,172,97.2,1.9
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,3249,182,96.6,2.0
