,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5550,354,5550,(X)
Estimate Households By Type Total Households Married-Couple Household,3297,279,59.4,5.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1326,193,23.9,4.1
Estimate Households By Type Total Households Cohabiting Couple Household,508,166,9.2,2.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,165,139,3.0,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",373,139,6.7,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,21,0.0,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",285,112,5.1,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",99,79,1.8,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1372,318,24.7,5.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",155,151,2.8,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",764,202,13.8,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",399,118,7.2,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1811,200,32.6,4.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1796,259,32.4,4.0
Estimate Households By Type Total Households Average Household Size,2.72,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.11,0.18,(X),(X)
Estimate Relationship Population In Households,15091,314,15091,(X)
Estimate Relationship Population In Households Householder,5550,354,36.8,2.3
Estimate Relationship Population In Households Spouse,3265,270,21.6,1.7
Estimate Relationship Population In Households Unmarried Partner,524,167,3.5,1.1
Estimate Relationship Population In Households Child,4742,473,31.4,3.1
Estimate Relationship Population In Households Other Relatives,747,220,4.9,1.4
Estimate Relationship Population In Households Other Nonrelatives,263,197,1.7,1.3
Estimate Marital Status Males 15 Years And Over,5731,377,5731,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1733,304,30.2,4.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3487,280,60.8,4.3
Estimate Marital Status Males 15 Years And Over Separated,20,26,0.3,0.5
Estimate Marital Status Males 15 Years And Over Widowed,171,69,3.0,1.2
Estimate Marital Status Males 15 Years And Over Divorced,320,135,5.6,2.3
Estimate Marital Status Females 15 Years And Over,6787,418,6787,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1898,314,28.0,3.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3392,291,50.0,5.2
Estimate Marital Status Females 15 Years And Over Separated,98,69,1.4,1.0
Estimate Marital Status Females 15 Years And Over Widowed,563,138,8.3,2.0
Estimate Marital Status Females 15 Years And Over Divorced,836,286,12.3,3.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,66,57,66,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,40.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",17,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",16,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",24,27,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,335,158,335,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,62,88,18.5,24.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,11.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,11.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,62,88,18.5,24.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,11.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,62,88,62,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,33,47,53.2,7.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,62,88,100.0,41.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3438,382,3438,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",356,224,10.4,5.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,230,106,6.7,3.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1460,294,42.5,6.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),815,182,23.7,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,577,154,16.8,4.8
Estimate Educational Attainment Population 25 Years And Over,10711,508,10711,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,336,132,3.1,1.2
