,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5215,539,5215,(X)
Estimate Households By Type Total Households Married-Couple Household,1996,226,38.3,5.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,817,172,15.7,3.4
Estimate Households By Type Total Households Cohabiting Couple Household,505,154,9.7,3.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,49,47,0.9,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",832,210,16.0,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",60,47,1.2,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",412,123,7.9,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",98,57,1.9,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1882,507,36.1,7.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",196,107,3.8,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1045,230,20.0,4.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",681,200,13.1,3.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1181,156,22.6,3.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1708,260,32.8,5.1
Estimate Households By Type Total Households Average Household Size,2.25,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.14,(X),(X)
Estimate Relationship Population In Households,11735,1034,11735,(X)
Estimate Relationship Population In Households Householder,5215,539,44.4,2.2
Estimate Relationship Population In Households Spouse,2009,237,17.1,2.0
Estimate Relationship Population In Households Unmarried Partner,549,170,4.7,1.5
Estimate Relationship Population In Households Child,2655,401,22.6,3.3
Estimate Relationship Population In Households Other Relatives,642,248,5.5,2.1
Estimate Relationship Population In Households Other Nonrelatives,665,393,5.7,3.1
Estimate Marital Status Males 15 Years And Over,6557,516,6557,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3837,400,58.5,3.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2247,271,34.3,3.4
Estimate Marital Status Males 15 Years And Over Separated,33,37,0.5,0.6
Estimate Marital Status Males 15 Years And Over Widowed,103,63,1.6,0.9
Estimate Marital Status Males 15 Years And Over Divorced,337,121,5.1,1.9
Estimate Marital Status Females 15 Years And Over,7705,895,7705,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4098,871,53.2,6.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2318,305,30.1,4.6
Estimate Marital Status Females 15 Years And Over Separated,81,57,1.1,0.8
Estimate Marital Status Females 15 Years And Over Widowed,571,205,7.4,2.7
Estimate Marital Status Females 15 Years And Over Divorced,637,160,8.3,2.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,232,120,232,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",88,88,37.9,30.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",23,23,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",45,25,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",5,9,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",23,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",131,83,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,251,160,251,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,96,113,38.2,31.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,14.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,14.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,87,114,34.7,33.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,9,14,3.6,6.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,96,113,96,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,52,56,54.2,12.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,87,114,90.6,25.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,6442,631,6442,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",72,60,1.1,0.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,137,99,2.1,1.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),898,269,13.9,3.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),379,157,5.9,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,4956,548,76.9,4.4
Estimate Educational Attainment Population 25 Years And Over,8642,668,8642,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,159,86,1.8,1.0
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",276,147,3.2,1.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1646,398,19.0,4.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1257,275,14.5,2.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,535,188,6.2,2.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2629,417,30.4,4.4
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2140,313,24.8,3.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,8207,686,95.0,2.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,4769,537,55.2,5.3
Estimate Veteran Status Civilian Population 18 Years And Over,13923,993,13923,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,365,93,2.6,0.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,16116,1094,16116,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1376,365,8.5,2.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2266,400,2266,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,57,58,2.5,2.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,11544,942,11544,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,768,275,6.7,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2306,343,2306,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,551,177,23.9,6.2
Estimate Residence 1 Year Ago Population 1 Year And Over,15858,1065,15858,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,12602,1024,79.5,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),3256,465,20.5,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,2760,399,17.4,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,1501,351,9.5,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,1259,273,7.9,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,465,187,2.9,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,794,165,5.0,1.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,496,184,3.1,1.2
Estimate Place Of Birth Total Population,16193,1087,16193,(X)
Estimate Place Of Birth Total Population Native,12056,834,74.5,2.7
Estimate Place Of Birth Total Population Native Born In United States,11713,814,72.3,2.7
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,7866,685,48.6,2.7
Estimate Place Of Birth Total Population Native Born In United States Different State,3847,478,23.8,2.8
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",343,164,2.1,1.0
Estimate Place Of Birth Total Population Foreign Born,4137,566,25.5,2.7
Estimate U.S. Citizenship Status Foreign-Born Population,4137,566,4137,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,2081,448,50.3,7.1
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,2056,358,49.7,7.1
Estimate Year Of Entry Population Born Outside The United States,4480,577,4480,(X)
Estimate Year Of Entry Population Born Outside The United States Native,343,164,343,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,201,132,58.6,22.6
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,142,93,41.4,22.6
Estimate Year Of Entry Population Born Outside The United States Foreign Born,4137,566,4137,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,1640,358,39.6,7.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,2497,466,60.4,7.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",4137,566,4137,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",519,149,12.5,3.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",2183,482,52.8,7.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",552,221,13.3,5.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,1.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",676,230,16.3,5.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",207,112,5.0,2.8
Estimate Language Spoken At Home Population 5 Years And Over,15344,1027,15344,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,9915,754,64.6,4.5
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,5429,887,35.4,4.5
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",1127,295,7.3,1.9
Estimate Language Spoken At Home Population 5 Years And Over Spanish,1133,331,7.4,2.1
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",244,104,1.6,0.7
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,2319,891,15.1,5.3
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",438,218,2.9,1.4
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,1296,256,8.4,1.8
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",321,129,2.1,0.9
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,681,240,4.4,1.6
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",124,69,0.8,0.4
Estimate Ancestry Total Population,16193,1087,16193,(X)
Estimate Ancestry Total Population American,333,165,2.1,1.0
Estimate Ancestry Total Population Arab,218,228,1.3,1.4
Estimate Ancestry Total Population Czech,8,17,0.0,0.1
Estimate Ancestry Total Population Danish,41,46,0.3,0.3
Estimate Ancestry Total Population Dutch,49,41,0.3,0.3
Estimate Ancestry Total Population English,1118,330,6.9,2.0
Estimate Ancestry Total Population French (Except Basque),514,199,3.2,1.2
Estimate Ancestry Total Population French Canadian,589,196,3.6,1.2
Estimate Ancestry Total Population German,778,204,4.8,1.2
Estimate Ancestry Total Population Greek,218,172,1.3,1.1
Estimate Ancestry Total Population Hungarian,101,67,0.6,0.4
Estimate Ancestry Total Population Irish,2331,451,14.4,2.7
Estimate Ancestry Total Population Italian,2248,376,13.9,2.4
Estimate Ancestry Total Population Lithuanian,54,63,0.3,0.4
Estimate Ancestry Total Population Norwegian,88,49,0.5,0.3
Estimate Ancestry Total Population Polish,560,380,3.5,2.2
Estimate Ancestry Total Population Portuguese,157,112,1.0,0.7
Estimate Ancestry Total Population Russian,252,108,1.6,0.7
Estimate Ancestry Total Population Scotch-Irish,38,36,0.2,0.2
Estimate Ancestry Total Population Scottish,157,77,1.0,0.5
Estimate Ancestry Total Population Slovak,14,22,0.1,0.1
Estimate Ancestry Total Population Subsaharan African,828,455,5.1,2.8
Estimate Ancestry Total Population Swedish,117,68,0.7,0.4
Estimate Ancestry Total Population Swiss,16,26,0.1,0.2
Estimate Ancestry Total Population Ukrainian,99,64,0.6,0.4
Estimate Ancestry Total Population Welsh,38,34,0.2,0.2
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),384,175,2.4,1.1
Estimate Computers And Internet Use Total Households,5215,539,5215,(X)
Estimate Computers And Internet Use Total Households With A Computer,5064,541,97.1,1.4
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,4864,546,93.3,2.3
