,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6489,292,6489,(X)
Estimate Households By Type Total Households Married-Couple Household,3619,301,55.8,4.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1157,151,17.8,2.4
Estimate Households By Type Total Households Cohabiting Couple Household,491,190,7.6,2.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,111,69,1.7,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",871,227,13.4,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",121,147,1.9,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",592,166,9.1,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",242,126,3.7,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1508,271,23.2,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",202,104,3.1,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",851,189,13.1,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",511,134,7.9,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1778,189,27.4,3.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2112,240,32.5,3.3
Estimate Households By Type Total Households Average Household Size,2.62,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.10,(X),(X)
Estimate Relationship Population In Households,16995,305,16995,(X)
Estimate Relationship Population In Households Householder,6489,292,38.2,1.5
Estimate Relationship Population In Households Spouse,3548,286,20.9,1.7
Estimate Relationship Population In Households Unmarried Partner,495,186,2.9,1.1
Estimate Relationship Population In Households Child,5133,399,30.2,2.2
Estimate Relationship Population In Households Other Relatives,945,296,5.6,1.8
Estimate Relationship Population In Households Other Nonrelatives,385,172,2.3,1.0
Estimate Marital Status Males 15 Years And Over,8264,385,8264,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3389,371,41.0,3.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3878,310,46.9,4.0
Estimate Marital Status Males 15 Years And Over Separated,159,157,1.9,1.9
Estimate Marital Status Males 15 Years And Over Widowed,186,91,2.3,1.1
Estimate Marital Status Males 15 Years And Over Divorced,652,192,7.9,2.3
Estimate Marital Status Females 15 Years And Over,8420,406,8420,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2812,307,33.4,2.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3687,272,43.8,3.3
Estimate Marital Status Females 15 Years And Over Separated,79,53,0.9,0.6
Estimate Marital Status Females 15 Years And Over Widowed,621,156,7.4,1.8
Estimate Marital Status Females 15 Years And Over Divorced,1221,250,14.5,2.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,129,84,129,(X)
