,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1298,98,1298,(X)
Estimate Households By Type Total Households Married-Couple Household,878,81,67.6,6.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,293,47,22.6,4.3
Estimate Households By Type Total Households Cohabiting Couple Household,103,56,7.9,4.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",128,61,9.9,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",12,19,0.9,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",116,57,8.9,4.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",85,51,6.5,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",189,72,14.6,5.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",36,31,2.8,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",70,40,5.4,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",53,35,4.1,2.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,354,58,27.3,5.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,536,108,41.3,7.0
Estimate Households By Type Total Households Average Household Size,2.67,0.19,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.91,0.20,(X),(X)
Estimate Relationship Population In Households,3467,45,3467,(X)
Estimate Relationship Population In Households Householder,1298,98,37.4,2.7
Estimate Relationship Population In Households Spouse,903,80,26.0,2.3
Estimate Relationship Population In Households Unmarried Partner,104,56,3.0,1.6
Estimate Relationship Population In Households Child,991,131,28.6,3.8
Estimate Relationship Population In Households Other Relatives,89,65,2.6,1.9
Estimate Relationship Population In Households Other Nonrelatives,82,69,2.4,2.0
Estimate Marital Status Males 15 Years And Over,1517,120,1517,(X)
Estimate Marital Status Males 15 Years And Over Never Married,353,105,23.3,6.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",941,89,62.0,6.7
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,2.6
Estimate Marital Status Males 15 Years And Over Widowed,59,58,3.9,3.7
Estimate Marital Status Males 15 Years And Over Divorced,164,63,10.8,3.9
Estimate Marital Status Females 15 Years And Over,1404,89,1404,(X)
Estimate Marital Status Females 15 Years And Over Never Married,237,78,16.9,4.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",943,86,67.2,6.4
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,2.8
Estimate Marital Status Females 15 Years And Over Widowed,90,43,6.4,3.0
Estimate Marital Status Females 15 Years And Over Divorced,134,56,9.5,4.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,15,23,15,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,84.9
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,142,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",24,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,331,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,201,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",41,60,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,13,21,13,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,0.0,91.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,91.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,91.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,91.2
