,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1902,210,1902,(X)
Estimate Households By Type Total Households Married-Couple Household,1073,174,56.4,6.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,585,96,30.8,5.2
Estimate Households By Type Total Households Cohabiting Couple Household,141,69,7.4,3.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,26,27,1.4,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",323,121,17.0,5.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",258,107,13.6,5.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",28,25,1.5,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",365,112,19.2,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",16,19,0.8,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",257,104,13.5,5.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",92,47,4.8,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,662,95,34.8,5.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,425,148,22.3,6.6
Estimate Households By Type Total Households Average Household Size,2.50,0.19,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.11,0.19,(X),(X)
Estimate Relationship Population In Households,4756,471,4756,(X)
Estimate Relationship Population In Households Householder,1902,210,40.0,3.0
Estimate Relationship Population In Households Spouse,1059,166,22.3,2.2
Estimate Relationship Population In Households Unmarried Partner,135,68,2.8,1.4
Estimate Relationship Population In Households Child,1301,193,27.4,3.2
Estimate Relationship Population In Households Other Relatives,205,102,4.3,2.1
Estimate Relationship Population In Households Other Nonrelatives,154,98,3.2,2.0
Estimate Marital Status Males 15 Years And Over,1986,234,1986,(X)
Estimate Marital Status Males 15 Years And Over Never Married,630,145,31.7,6.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1114,176,56.1,5.9
Estimate Marital Status Males 15 Years And Over Separated,28,27,1.4,1.4
Estimate Marital Status Males 15 Years And Over Widowed,22,23,1.1,1.2
Estimate Marital Status Males 15 Years And Over Divorced,192,89,9.7,4.3
Estimate Marital Status Females 15 Years And Over,1845,232,1845,(X)
Estimate Marital Status Females 15 Years And Over Never Married,425,134,23.0,5.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1089,174,59.0,6.8
Estimate Marital Status Females 15 Years And Over Separated,9,17,0.5,0.9
Estimate Marital Status Females 15 Years And Over Widowed,61,58,3.3,3.0
Estimate Marital Status Females 15 Years And Over Divorced,261,81,14.1,4.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,100,68,100,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",18,24,18.0,24.8
