,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3907,246,3907,(X)
Estimate Households By Type Total Households Married-Couple Household,2561,251,65.5,4.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1218,153,31.2,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,54,35,1.4,0.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,20,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",370,92,9.5,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",65,74,1.7,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",261,69,6.7,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",156,54,4.0,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",922,169,23.6,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",92,83,2.4,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",754,137,19.3,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",485,94,12.4,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1400,192,35.8,4.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1418,135,36.3,3.4
Estimate Households By Type Total Households Average Household Size,2.59,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.13,0.15,(X),(X)
Estimate Relationship Population In Households,10115,725,10115,(X)
Estimate Relationship Population In Households Householder,3907,246,38.6,1.8
Estimate Relationship Population In Households Spouse,2479,230,24.5,1.7
Estimate Relationship Population In Households Unmarried Partner,51,34,0.5,0.3
Estimate Relationship Population In Households Child,3269,387,32.3,2.2
Estimate Relationship Population In Households Other Relatives,274,139,2.7,1.3
Estimate Relationship Population In Households Other Nonrelatives,135,106,1.3,1.0
Estimate Marital Status Males 15 Years And Over,4010,348,4010,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1044,218,26.0,4.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2673,267,66.7,4.9
Estimate Marital Status Males 15 Years And Over Separated,58,74,1.4,1.8
Estimate Marital Status Males 15 Years And Over Widowed,123,61,3.1,1.5
Estimate Marital Status Males 15 Years And Over Divorced,112,65,2.8,1.6
Estimate Marital Status Females 15 Years And Over,4368,327,4368,(X)
Estimate Marital Status Females 15 Years And Over Never Married,896,194,20.5,3.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2575,225,59.0,4.4
Estimate Marital Status Females 15 Years And Over Separated,123,98,2.8,2.2
Estimate Marital Status Females 15 Years And Over Widowed,386,103,8.8,2.4
Estimate Marital Status Females 15 Years And Over Divorced,388,111,8.9,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,74,54,74,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,38.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,48,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",36,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,170,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",75,62,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",19,24,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,113,84,113,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,21,0.0,29.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,29.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,29.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,29.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,29.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,21,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,21,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3070,454,3070,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",342,102,11.1,3.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,141,67,4.6,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1342,306,43.7,6.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),569,122,18.5,4.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,676,239,22.0,6.3
Estimate Educational Attainment Population 25 Years And Over,7146,476,7146,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,96,72,1.3,1.0
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",56,36,0.8,0.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),587,171,8.2,2.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",369,116,5.2,1.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,297,100,4.2,1.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2181,370,30.5,4.4
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3560,342,49.8,3.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,6994,479,97.9,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,5741,503,80.3,3.8
Estimate Veteran Status Civilian Population 18 Years And Over,7894,524,7894,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,242,85,3.1,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,10408,754,10408,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,876,231,8.4,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2607,392,2607,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,78,65,3.0,2.5
