,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2294,182,2294,(X)
Estimate Households By Type Total Households Married-Couple Household,1476,198,64.3,8.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,630,159,27.5,7.6
Estimate Households By Type Total Households Cohabiting Couple Household,160,91,7.0,3.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,24,39,1.0,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",286,127,12.5,5.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",29,43,1.3,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",72,65,3.1,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",10,19,0.4,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",372,151,16.2,6.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",73,98,3.2,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",203,108,8.8,4.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",100,63,4.4,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,822,155,35.8,8.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,569,153,24.8,5.8
Estimate Households By Type Total Households Average Household Size,2.92,0.23,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.24,0.26,(X),(X)
Estimate Relationship Population In Households,6694,42,6694,(X)
Estimate Relationship Population In Households Householder,2294,182,34.3,2.7
Estimate Relationship Population In Households Spouse,1507,201,22.5,3.0
Estimate Relationship Population In Households Unmarried Partner,163,92,2.4,1.4
Estimate Relationship Population In Households Child,2253,375,33.7,5.6
Estimate Relationship Population In Households Other Relatives,354,188,5.3,2.8
Estimate Relationship Population In Households Other Nonrelatives,123,103,1.8,1.5
Estimate Marital Status Males 15 Years And Over,2782,252,2782,(X)
Estimate Marital Status Males 15 Years And Over Never Married,814,177,29.3,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1561,207,56.1,7.5
Estimate Marital Status Males 15 Years And Over Separated,27,39,1.0,1.4
Estimate Marital Status Males 15 Years And Over Widowed,49,43,1.8,1.5
Estimate Marital Status Males 15 Years And Over Divorced,331,169,11.9,5.6
Estimate Marital Status Females 15 Years And Over,2773,237,2773,(X)
Estimate Marital Status Females 15 Years And Over Never Married,718,263,25.9,8.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1539,199,55.5,8.0
Estimate Marital Status Females 15 Years And Over Separated,156,148,5.6,5.4
Estimate Marital Status Females 15 Years And Over Widowed,148,89,5.3,3.2
Estimate Marital Status Females 15 Years And Over Divorced,212,124,7.6,4.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,170,107,170,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",18,29,10.6,17.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",26,48,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",119,78,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,113,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",207,222,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",122,100,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,245,139,245,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,14,22,5.7,10.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,14,22,5.7,10.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,14,22,14,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,0.0,87.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,19,0.0,87.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1542,312,1542,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",36,40,2.3,2.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,105,69,6.8,4.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),604,223,39.2,12.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),425,166,27.6,9.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,372,179,24.1,9.8
Estimate Educational Attainment Population 25 Years And Over,4652,341,4652,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,73,66,1.6,1.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",103,109,2.2,2.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1321,291,28.4,5.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",750,202,16.1,4.3
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,396,157,8.5,3.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1347,310,29.0,7.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,662,231,14.2,4.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,4476,338,96.2,3.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,2009,336,43.2,7.1
Estimate Veteran Status Civilian Population 18 Years And Over,5141,285,5141,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,418,144,8.1,2.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,6704,40,6704,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,464,174,6.9,2.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1566,278,1566,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,39,39,2.5,2.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,4220,302,4220,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,210,110,5.0,2.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,918,256,918,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,215,123,23.4,11.8
Estimate Residence 1 Year Ago Population 1 Year And Over,6595,105,6595,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,6058,351,91.9,4.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),537,323,8.1,4.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,498,317,7.6,4.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,343,262,5.2,4.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,155,161,2.4,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,148,158,2.2,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,7,12,0.1,0.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,39,62,0.6,0.9
Estimate Place Of Birth Total Population,6724,18,6724,(X)
Estimate Place Of Birth Total Population Native,6435,167,95.7,2.4
Estimate Place Of Birth Total Population Native Born In United States,6289,197,93.5,2.9
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,5201,367,77.3,5.5
Estimate Place Of Birth Total Population Native Born In United States Different State,1088,324,16.2,4.8
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",146,152,2.2,2.3
Estimate Place Of Birth Total Population Foreign Born,289,164,4.3,2.4
Estimate U.S. Citizenship Status Foreign-Born Population,289,164,289,(X)
