,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2831,163,2831,(X)
Estimate Households By Type Total Households Married-Couple Household,1706,176,60.3,6.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,653,134,23.1,5.0
Estimate Households By Type Total Households Cohabiting Couple Household,200,85,7.1,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,53,51,1.9,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",390,119,13.8,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",58,54,2.0,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",261,114,9.2,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",105,64,3.7,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",535,141,18.9,4.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",67,55,2.4,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",309,102,10.9,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",204,74,7.2,2.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,924,138,32.6,5.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,805,122,28.4,4.0
Estimate Households By Type Total Households Average Household Size,2.64,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.03,0.15,(X),(X)
Estimate Relationship Population In Households,7474,318,7474,(X)
Estimate Relationship Population In Households Householder,2831,163,37.9,1.7
Estimate Relationship Population In Households Spouse,1665,180,22.3,2.1
Estimate Relationship Population In Households Unmarried Partner,202,89,2.7,1.2
Estimate Relationship Population In Households Child,2214,279,29.6,3.3
Estimate Relationship Population In Households Other Relatives,444,168,5.9,2.2
Estimate Relationship Population In Households Other Nonrelatives,118,74,1.6,1.0
Estimate Marital Status Males 15 Years And Over,3037,212,3037,(X)
Estimate Marital Status Males 15 Years And Over Never Married,882,168,29.0,4.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1794,177,59.1,5.2
Estimate Marital Status Males 15 Years And Over Separated,21,17,0.7,0.5
Estimate Marital Status Males 15 Years And Over Widowed,11,18,0.4,0.6
Estimate Marital Status Males 15 Years And Over Divorced,329,124,10.8,4.0
Estimate Marital Status Females 15 Years And Over,2979,227,2979,(X)
Estimate Marital Status Females 15 Years And Over Never Married,632,148,21.2,4.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1742,167,58.5,6.1
Estimate Marital Status Females 15 Years And Over Separated,55,60,1.8,2.0
Estimate Marital Status Females 15 Years And Over Widowed,249,101,8.4,3.2
Estimate Marital Status Females 15 Years And Over Divorced,301,104,10.1,3.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,67,49,67,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",33,40,49.3,37.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",49,57,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",41,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,189,(X),(X)
