,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7511,466,7511,(X)
Estimate Households By Type Total Households Married-Couple Household,2166,314,28.8,3.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,777,233,10.3,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,903,260,12.0,3.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,444,187,5.9,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2069,407,27.5,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",204,140,2.7,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1415,341,18.8,4.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",176,106,2.3,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2373,313,31.6,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",837,227,11.1,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1140,253,15.2,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",535,161,7.1,2.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2294,333,30.5,4.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1709,279,22.8,3.5
Estimate Households By Type Total Households Average Household Size,2.20,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.74,0.13,(X),(X)
Estimate Relationship Population In Households,16537,1066,16537,(X)
Estimate Relationship Population In Households Householder,7511,466,45.4,2.5
Estimate Relationship Population In Households Spouse,2135,306,12.9,1.6
Estimate Relationship Population In Households Unmarried Partner,947,268,5.7,1.6
Estimate Relationship Population In Households Child,4668,604,28.2,2.6
Estimate Relationship Population In Households Other Relatives,787,274,4.8,1.6
Estimate Relationship Population In Households Other Nonrelatives,489,241,3.0,1.4
Estimate Marital Status Males 15 Years And Over,6874,655,6874,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3400,550,49.5,5.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2237,312,32.5,4.4
Estimate Marital Status Males 15 Years And Over Separated,151,94,2.2,1.3
Estimate Marital Status Males 15 Years And Over Widowed,222,110,3.2,1.6
Estimate Marital Status Males 15 Years And Over Divorced,864,253,12.6,3.4
Estimate Marital Status Females 15 Years And Over,6787,588,6787,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2993,478,44.1,4.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2420,338,35.7,4.3
Estimate Marital Status Females 15 Years And Over Separated,124,82,1.8,1.2
Estimate Marital Status Females 15 Years And Over Widowed,580,173,8.5,2.5
Estimate Marital Status Females 15 Years And Over Divorced,670,193,9.9,2.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,396,183,396,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",366,176,92.4,8.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",129,60,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",98,45,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,79,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",194,84,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,26,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,75,57,75,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,22,34,29.3,35.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,38.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,38.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,22,34,29.3,35.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,38.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,22,34,22,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,22,34,100.0,70.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,0.0,70.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3603,504,3603,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",103,91,2.9,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,190,110,5.3,3.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1471,340,40.8,6.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),950,281,26.4,7.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,889,245,24.7,6.3
Estimate Educational Attainment Population 25 Years And Over,11462,752,11462,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,2153,451,18.8,4.0
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",882,289,7.7,2.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),4195,529,36.6,3.9
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2134,436,18.6,3.5
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,959,255,8.4,2.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,830,252,7.2,2.2
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,309,138,2.7,1.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,8427,821,73.5,4.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,1139,289,9.9,2.4
Estimate Veteran Status Civilian Population 18 Years And Over,12981,873,12981,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,547,185,4.2,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,16577,1066,16577,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,3551,530,21.4,3.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,3596,554,3596,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,299,148,8.3,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,10771,869,10771,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,2214,466,20.6,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2210,360,2210,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1038,210,47.0,6.9
Estimate Residence 1 Year Ago Population 1 Year And Over,16334,1064,16334,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,14014,1055,85.8,3.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),2320,587,14.2,3.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,2178,568,13.3,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,1585,420,9.7,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,593,343,3.6,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,520,332,3.2,2.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,73,83,0.4,0.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,142,169,0.9,1.0
Estimate Place Of Birth Total Population,16577,1066,16577,(X)
Estimate Place Of Birth Total Population Native,12264,990,74.0,3.7
Estimate Place Of Birth Total Population Native Born In United States,11118,983,67.1,4.2
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,9084,922,54.8,4.4
Estimate Place Of Birth Total Population Native Born In United States Different State,2034,429,12.3,2.5
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",1146,363,6.9,2.2
Estimate Place Of Birth Total Population Foreign Born,4313,677,26.0,3.7
Estimate U.S. Citizenship Status Foreign-Born Population,4313,677,4313,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,2159,462,50.1,8.9
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,2154,552,49.9,8.9
Estimate Year Of Entry Population Born Outside The United States,5459,774,5459,(X)
Estimate Year Of Entry Population Born Outside The United States Native,1146,363,1146,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,628,320,54.8,16.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,518,186,45.2,16.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,4313,677,4313,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,1444,480,33.5,8.7
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,2869,510,66.5,8.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",4313,677,4313,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",2341,581,54.3,10.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",154,93,3.6,2.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",710,409,16.5,8.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,0.9
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",1064,331,24.7,7.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",44,44,1.0,1.0
Estimate Language Spoken At Home Population 5 Years And Over,15504,1053,15504,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,8980,947,57.9,4.8
