,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1018,193,1018,(X)
Estimate Households By Type Total Households Married-Couple Household,565,151,55.5,12.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,210,124,20.6,10.6
Estimate Households By Type Total Households Cohabiting Couple Household,4,7,0.4,0.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",97,69,9.5,6.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",78,60,7.7,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",48,46,4.7,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",352,137,34.6,11.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",18,32,1.8,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",308,136,30.3,11.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",126,74,12.4,6.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,228,129,22.4,10.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,413,124,40.6,10.7
Estimate Households By Type Total Households Average Household Size,2.33,0.39,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.14,0.39,(X),(X)
Estimate Relationship Population In Households,2371,614,2371,(X)
Estimate Relationship Population In Households Householder,1018,193,42.9,7.3
Estimate Relationship Population In Households Spouse,550,150,23.2,3.3
Estimate Relationship Population In Households Unmarried Partner,7,12,0.3,0.5
Estimate Relationship Population In Households Child,786,356,33.2,7.8
Estimate Relationship Population In Households Other Relatives,10,18,0.4,0.7
Estimate Relationship Population In Households Other Nonrelatives,0,13,0.0,1.7
Estimate Marital Status Males 15 Years And Over,882,203,882,(X)
Estimate Marital Status Males 15 Years And Over Never Married,233,105,26.4,9.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",555,153,62.9,11.2
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,4.4
Estimate Marital Status Males 15 Years And Over Widowed,33,37,3.7,4.4
