,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,430,65,430,(X)
Estimate Households By Type Total Households Married-Couple Household,222,45,51.6,8.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,53,18,12.3,4.5
Estimate Households By Type Total Households Cohabiting Couple Household,37,22,8.6,4.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,20,18,4.7,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",82,32,19.1,6.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,8.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",72,30,16.7,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",31,16,7.2,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",89,28,20.7,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,18,4.9,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",41,22,9.5,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",16,13,3.7,2.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,101,31,23.5,6.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,153,33,35.6,6.0
Estimate Households By Type Total Households Average Household Size,2.45,0.23,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.85,0.23,(X),(X)
Estimate Relationship Population In Households,1052,152,1052,(X)
Estimate Relationship Population In Households Householder,430,65,40.9,4.0
Estimate Relationship Population In Households Spouse,225,41,21.4,3.3
Estimate Relationship Population In Households Unmarried Partner,38,22,3.6,2.0
Estimate Relationship Population In Households Child,255,76,24.2,5.0
Estimate Relationship Population In Households Other Relatives,67,39,6.4,3.7
Estimate Relationship Population In Households Other Nonrelatives,37,19,3.5,1.7
Estimate Marital Status Males 15 Years And Over,440,74,440,(X)
Estimate Marital Status Males 15 Years And Over Never Married,107,43,24.3,7.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",246,44,55.9,7.9
Estimate Marital Status Males 15 Years And Over Separated,9,14,2.0,3.2
Estimate Marital Status Males 15 Years And Over Widowed,23,13,5.2,2.8
Estimate Marital Status Males 15 Years And Over Divorced,55,22,12.5,4.8
Estimate Marital Status Females 15 Years And Over,436,60,436,(X)
Estimate Marital Status Females 15 Years And Over Never Married,95,31,21.8,6.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",225,42,51.6,6.5
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,8.8
Estimate Marital Status Females 15 Years And Over Widowed,34,17,7.8,3.6
Estimate Marital Status Females 15 Years And Over Divorced,82,23,18.8,5.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,18,16,18,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",8,13,44.4,47.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",67,106,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",94,79,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,736,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",176,164,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",51,52,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,8,8,8,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,6,8,75.0,37.1
