Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,601,121,601,(X)
Estimate Households By Type Total Households Married-Couple Household,203,94,33.8,13.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,114,85,19.0,12.8
Estimate Households By Type Total Households Cohabiting Couple Household,81,55,13.5,10.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,34,33,5.7,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",68,53,11.3,8.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,6.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",50,47,8.3,7.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",46,47,7.7,7.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",249,114,41.4,15.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,6.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",152,85,25.3,12.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",56,40,9.3,6.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,165,87,27.5,13.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,251,72,41.8,11.1
Estimate Households By Type Total Households Average Household Size,2.35,0.35,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.03,0.40,(X),(X)
Estimate Relationship Population In Households,1415,312,1415,(X)
Estimate Relationship Population In Households Householder,601,121,42.5,6.5
Estimate Relationship Population In Households Spouse,192,88,13.6,4.5
Estimate Relationship Population In Households Unmarried Partner,76,56,5.4,4.3
Estimate Relationship Population In Households Child,394,180,27.8,8.4
Estimate Relationship Population In Households Other Relatives,135,95,9.5,6.6
Estimate Relationship Population In Households Other Nonrelatives,17,24,1.2,1.8
Estimate Marital Status Males 15 Years And Over,662,205,662,(X)
Estimate Marital Status Males 15 Years And Over Never Married,365,154,55.1,12.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",209,95,31.6,11.1
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,5.5
Estimate Marital Status Males 15 Years And Over Widowed,30,41,4.5,5.9
