Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8958,576,8958,(X)
Estimate Households By Type Total Households Married-Couple Household,4189,424,46.8,4.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1868,312,20.9,3.1
Estimate Households By Type Total Households Cohabiting Couple Household,493,178,5.5,2.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,233,117,2.6,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1553,344,17.3,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",116,79,1.3,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",917,227,10.2,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",183,75,2.0,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2723,442,30.4,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",639,321,7.1,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1195,284,13.3,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",505,168,5.6,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3229,475,36.0,4.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2319,317,25.9,3.3
Estimate Households By Type Total Households Average Household Size,3.11,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.67,0.15,(X),(X)
Estimate Relationship Population In Households,27824,2195,27824,(X)
Estimate Relationship Population In Households Householder,8958,576,32.2,1.6
Estimate Relationship Population In Households Spouse,4092,425,14.7,1.3
Estimate Relationship Population In Households Unmarried Partner,496,183,1.8,0.7
Estimate Relationship Population In Households Child,9222,1244,33.1,2.9
Estimate Relationship Population In Households Other Relatives,3837,938,13.8,3.1
Estimate Relationship Population In Households Other Nonrelatives,1219,445,4.4,1.5
Estimate Marital Status Males 15 Years And Over,10895,1071,10895,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4406,760,40.4,4.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5364,550,49.2,4.9
Estimate Marital Status Males 15 Years And Over Separated,230,140,2.1,1.2
Estimate Marital Status Males 15 Years And Over Widowed,322,198,3.0,1.8
Estimate Marital Status Males 15 Years And Over Divorced,573,211,5.3,1.9
Estimate Marital Status Females 15 Years And Over,10908,946,10908,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3915,596,35.9,3.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4822,488,44.2,3.6
Estimate Marital Status Females 15 Years And Over Separated,267,139,2.4,1.3
Estimate Marital Status Females 15 Years And Over Widowed,806,223,7.4,2.0
Estimate Marital Status Females 15 Years And Over Divorced,1098,338,10.1,2.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,451,149,451,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",79,59,17.5,12.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",23,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",69,23,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",123,50,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",48,25,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1205,362,1205,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,231,121,19.2,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,26,33,2.2,2.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,71,94,5.9,7.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,3.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,134,83,11.1,6.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,231,121,231,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,159,81,68.8,21.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,185,113,80.1,20.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School,8058,1229,8058,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",453,206,5.6,2.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,510,195,6.3,2.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),3081,500,38.2,3.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1895,520,23.5,4.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,2119,423,26.3,4.2
Estimate Educational Attainment Population 25 Years And Over,18419,1232,18419,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,1934,585,10.5,2.9
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",1335,345,7.2,1.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),4575,623,24.8,2.9
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",3024,591,16.4,2.9
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1148,343,6.2,1.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,3287,539,17.8,2.8
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3116,562,16.9,3.1
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,15150,1091,82.3,3.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,6403,652,34.8,3.3
Estimate Veteran Status Civilian Population 18 Years And Over,20580,1476,20580,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,1052,260,5.1,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,27884,2198,27884,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,2801,491,10.0,1.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,7312,1027,7312,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,389,202,5.3,2.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,17403,1371,17403,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,1224,276,7.0,1.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3169,387,3169,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1188,280,37.5,7.1
Estimate Residence 1 Year Ago Population 1 Year And Over,27403,2188,27403,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,23666,2079,86.4,3.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),3737,986,13.6,3.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,3544,931,12.9,3.2
