Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,439,149,439,(X)
Estimate Households By Type Total Households Married-Couple Household,219,113,49.9,17.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,46,40,10.5,9.3
Estimate Households By Type Total Households Cohabiting Couple Household,17,26,3.9,6.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,8.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",113,66,25.7,12.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,8.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",82,53,18.7,11.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",28,29,6.4,7.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",90,80,20.5,16.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",56,72,12.8,15.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",20,26,4.6,6.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",20,26,4.6,6.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,117,83,26.7,16.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,116,55,26.4,13.7
Estimate Households By Type Total Households Average Household Size,2.29,0.33,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.72,0.45,(X),(X)
Estimate Relationship Population In Households,1007,374,1007,(X)
Estimate Relationship Population In Households Householder,439,149,43.6,6.2
Estimate Relationship Population In Households Spouse,211,98,21.0,7.9
Estimate Relationship Population In Households Unmarried Partner,17,26,1.7,2.7
Estimate Relationship Population In Households Child,293,197,29.1,12.9
Estimate Relationship Population In Households Other Relatives,47,44,4.7,4.0
Estimate Relationship Population In Households Other Nonrelatives,0,13,0.0,3.7
Estimate Marital Status Males 15 Years And Over,465,180,465,(X)
Estimate Marital Status Males 15 Years And Over Never Married,94,84,20.2,14.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",238,117,51.2,16.8
Estimate Marital Status Males 15 Years And Over Separated,18,27,3.9,5.9
Estimate Marital Status Males 15 Years And Over Widowed,56,60,12.0,12.9
Estimate Marital Status Males 15 Years And Over Divorced,59,47,12.7,9.2
Estimate Marital Status Females 15 Years And Over,347,120,347,(X)
Estimate Marital Status Females 15 Years And Over Never Married,17,26,4.9,7.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",218,96,62.8,18.8
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,10.2
Estimate Marital Status Females 15 Years And Over Widowed,51,34,14.7,11.1
Estimate Marital Status Females 15 Years And Over Divorced,61,74,17.6,18.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,358,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,186,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",-666666666,-222222222,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,773,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,203,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,15,23,15,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,261,197,261,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",28,26,10.7,13.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,19,28,7.3,12.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),148,126,56.7,19.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),12,18,4.6,7.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,54,77,20.7,18.2
Estimate Educational Attainment Population 25 Years And Over,734,255,734,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,34,54,4.6,7.2
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",21,32,2.9,4.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),204,92,27.8,9.7
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",200,111,27.2,10.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,113,85,15.4,8.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,80,48,10.9,6.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,82,77,11.2,10.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,679,245,92.5,8.2
