Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6820,400,6820,(X)
Estimate Households By Type Total Households Married-Couple Household,3450,339,50.6,4.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1877,281,27.5,4.0
Estimate Households By Type Total Households Cohabiting Couple Household,792,261,11.6,3.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,618,204,9.1,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1057,336,15.5,4.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",27,34,0.4,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",443,151,6.5,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",90,46,1.3,0.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1521,260,22.3,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",351,155,5.1,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",551,161,8.1,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",315,116,4.6,1.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3281,288,48.1,3.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1815,357,26.6,4.8
Estimate Households By Type Total Households Average Household Size,3.88,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,4.26,0.23,(X),(X)
Estimate Relationship Population In Households,26432,2088,26432,(X)
Estimate Relationship Population In Households Householder,6820,400,25.8,1.4
Estimate Relationship Population In Households Spouse,3414,357,12.9,1.3
Estimate Relationship Population In Households Unmarried Partner,799,251,3.0,0.9
Estimate Relationship Population In Households Child,11551,1335,43.7,2.5
Estimate Relationship Population In Households Other Relatives,3059,533,11.6,1.8
Estimate Relationship Population In Households Other Nonrelatives,789,431,3.0,1.6
Estimate Marital Status Males 15 Years And Over,9359,954,9359,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4672,847,49.9,5.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3975,388,42.5,4.7
Estimate Marital Status Males 15 Years And Over Separated,162,89,1.7,1.0
Estimate Marital Status Males 15 Years And Over Widowed,105,68,1.1,0.7
Estimate Marital Status Males 15 Years And Over Divorced,445,210,4.8,2.2
Estimate Marital Status Females 15 Years And Over,9767,961,9767,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3781,702,38.7,4.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3890,399,39.8,4.8
Estimate Marital Status Females 15 Years And Over Separated,450,329,4.6,3.1
Estimate Marital Status Females 15 Years And Over Widowed,780,204,8.0,2.0
Estimate Marital Status Females 15 Years And Over Divorced,866,253,8.9,2.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,392,140,392,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",188,107,48.0,20.8
