Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,156,66,156,(X)
Estimate Households By Type Total Households Married-Couple Household,42,32,26.9,19.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,0,11,0.0,17.4
Estimate Households By Type Total Households Cohabiting Couple Household,20,19,12.8,13.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,11,0.0,17.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",44,28,28.2,17.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",15,17,9.6,10.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",12,15,7.7,9.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",8,13,5.1,8.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",50,50,32.1,24.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,11,0.0,17.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",21,19,13.5,11.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",6,9,3.8,5.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,23,22,14.7,13.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,39,24,25.0,16.4
Estimate Households By Type Total Households Average Household Size,2.38,0.50,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.77,0.63,(X),(X)
Estimate Relationship Population In Households,371,156,371,(X)
Estimate Relationship Population In Households Householder,156,66,42.0,8.8
Estimate Relationship Population In Households Spouse,42,32,11.3,7.6
Estimate Relationship Population In Households Unmarried Partner,19,17,5.1,5.2
Estimate Relationship Population In Households Child,78,55,21.0,11.2
Estimate Relationship Population In Households Other Relatives,76,57,20.5,10.5
Estimate Relationship Population In Households Other Nonrelatives,0,11,0.0,7.8
Estimate Marital Status Males 15 Years And Over,123,50,123,(X)
Estimate Marital Status Males 15 Years And Over Never Married,18,20,14.6,15.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",40,31,32.5,21.5
Estimate Marital Status Males 15 Years And Over Separated,8,12,6.5,9.7
Estimate Marital Status Males 15 Years And Over Widowed,24,22,19.5,16.2
Estimate Marital Status Males 15 Years And Over Divorced,33,24,26.8,17.8
Estimate Marital Status Females 15 Years And Over,224,119,224,(X)
Estimate Marital Status Females 15 Years And Over Never Married,84,61,37.5,12.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",57,39,25.4,16.5
Estimate Marital Status Females 15 Years And Over Separated,8,13,3.6,6.0
Estimate Marital Status Females 15 Years And Over Widowed,40,23,17.9,11.7
Estimate Marital Status Females 15 Years And Over Divorced,35,46,15.6,16.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,11,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,11,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,282,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,195,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,790,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,303,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,430,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,8,14,8,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,11,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,11,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,11,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,11,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,11,0.0,100.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,11,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,11,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,11,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,65,51,65,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",0,11,0.0,34.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,8,13,12.3,17.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),8,13,12.3,18.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),8,14,12.3,23.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,41,42,63.1,40.4
Estimate Educational Attainment Population 25 Years And Over,267,128,267,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,11,17,4.1,6.2
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",9,15,3.4,5.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),106,48,39.7,17.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",38,46,14.2,14.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,45,49,16.9,14.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,31,25,11.6,9.0
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,27,28,10.1,9.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,247,119,92.5,7.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,58,45,21.7,14.8
Estimate Veteran Status Civilian Population 18 Years And Over,339,144,339,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,19,18,5.6,5.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,371,156,371,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,56,46,15.1,12.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,32,32,32,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,0,11,0.0,50.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,285,147,285,(X)
