Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,77,21,77,(X)
Estimate Households By Type Total Households Married-Couple Household,28,15,36.4,15.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,16,13,20.8,14.7
Estimate Households By Type Total Households Cohabiting Couple Household,11,7,14.3,9.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,11,7,14.3,9.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",11,7,14.3,9.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,10,0.0,24.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",6,6,7.8,7.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,10,0.0,24.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",27,13,35.1,14.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",2,3,2.6,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",13,11,16.9,13.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",3,4,3.9,5.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,41,15,53.2,14.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,40,17,51.9,16.5
Estimate Households By Type Total Households Average Household Size,3.00,0.61,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.45,0.78,(X),(X)
Estimate Relationship Population In Households,231,52,231,(X)
Estimate Relationship Population In Households Householder,77,21,33.3,7.2
Estimate Relationship Population In Households Spouse,19,10,8.2,3.9
Estimate Relationship Population In Households Unmarried Partner,12,7,5.2,2.9
Estimate Relationship Population In Households Child,67,20,29.0,6.5
Estimate Relationship Population In Households Other Relatives,56,24,24.2,7.7
Estimate Relationship Population In Households Other Nonrelatives,0,10,0.0,9.3
Estimate Marital Status Males 15 Years And Over,77,25,77,(X)
Estimate Marital Status Males 15 Years And Over Never Married,43,13,55.8,12.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",30,16,39.0,13.2
Estimate Marital Status Males 15 Years And Over Separated,0,10,0.0,24.9
Estimate Marital Status Males 15 Years And Over Widowed,2,3,2.6,4.0
Estimate Marital Status Males 15 Years And Over Divorced,2,3,2.6,4.4
Estimate Marital Status Females 15 Years And Over,124,94,124,(X)
Estimate Marital Status Females 15 Years And Over Never Married,96,91,77.4,20.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",17,10,13.7,12.6
Estimate Marital Status Females 15 Years And Over Separated,0,10,0.0,16.5
Estimate Marital Status Females 15 Years And Over Widowed,8,6,6.5,7.6
Estimate Marital Status Females 15 Years And Over Divorced,3,4,2.4,4.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,2,3,2,(X)
