Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1509,114,1509,(X)
Estimate Households By Type Total Households Married-Couple Household,726,91,48.1,5.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,326,80,21.6,5.0
Estimate Households By Type Total Households Cohabiting Couple Household,110,52,7.3,3.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,78,49,5.2,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",301,69,19.9,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",47,30,3.1,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",205,66,13.6,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",74,38,4.9,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",372,87,24.7,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",103,51,6.8,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",232,82,15.4,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",120,59,8.0,3.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,581,78,38.5,4.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,417,73,27.6,4.3
Estimate Households By Type Total Households Average Household Size,2.48,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.98,0.20,(X),(X)
Estimate Relationship Population In Households,3746,209,3746,(X)
Estimate Relationship Population In Households Householder,1509,114,40.3,2.4
Estimate Relationship Population In Households Spouse,767,107,20.5,2.4
Estimate Relationship Population In Households Unmarried Partner,99,46,2.6,1.3
Estimate Relationship Population In Households Child,1189,138,31.7,2.8
Estimate Relationship Population In Households Other Relatives,94,49,2.5,1.3
Estimate Relationship Population In Households Other Nonrelatives,88,61,2.3,1.7
