Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2739,259,2739,(X)
Estimate Households By Type Total Households Married-Couple Household,1588,297,58.0,7.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,516,137,18.8,5.0
Estimate Households By Type Total Households Cohabiting Couple Household,308,118,11.2,4.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,207,99,7.6,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",448,139,16.4,4.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",45,40,1.6,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",374,132,13.7,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",20,23,0.7,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",395,100,14.4,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",96,47,3.5,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",246,80,9.0,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",69,41,2.5,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,918,142,33.5,5.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,711,204,26.0,6.0
Estimate Households By Type Total Households Average Household Size,2.59,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.20,(X),(X)
Estimate Relationship Population In Households,7097,558,7097,(X)
Estimate Relationship Population In Households Householder,2739,259,38.6,2.2
Estimate Relationship Population In Households Spouse,1696,316,23.9,3.8
Estimate Relationship Population In Households Unmarried Partner,318,120,4.5,1.7
Estimate Relationship Population In Households Child,2054,290,28.9,3.7
Estimate Relationship Population In Households Other Relatives,181,129,2.6,1.8
Estimate Relationship Population In Households Other Nonrelatives,109,74,1.5,1.0
Estimate Marital Status Males 15 Years And Over,2899,375,2899,(X)
Estimate Marital Status Males 15 Years And Over Never Married,941,226,32.5,6.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1686,309,58.2,7.3
Estimate Marital Status Males 15 Years And Over Separated,7,10,0.2,0.4
Estimate Marital Status Males 15 Years And Over Widowed,57,70,2.0,2.4
Estimate Marital Status Males 15 Years And Over Divorced,208,92,7.2,3.2
Estimate Marital Status Females 15 Years And Over,2804,270,2804,(X)
Estimate Marital Status Females 15 Years And Over Never Married,691,142,24.6,5.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1734,298,61.8,7.3
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,0.7
Estimate Marital Status Females 15 Years And Over Widowed,84,43,3.0,1.6
Estimate Marital Status Females 15 Years And Over Divorced,295,97,10.5,3.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,31,27,31,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",11,14,35.5,37.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",14,18,(X),(X)
