Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,317,65,317,(X)
Estimate Households By Type Total Households Married-Couple Household,182,54,57.4,11.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,79,35,24.9,10.2
Estimate Households By Type Total Households Cohabiting Couple Household,9,10,2.8,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,9,10,2.8,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",61,31,19.2,9.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,10,0.0,7.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",58,31,18.3,9.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",30,22,9.5,6.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",65,33,20.5,9.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",14,15,4.4,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",46,33,14.5,9.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",41,32,12.9,9.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,102,38,32.2,10.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,111,39,35.0,9.9
Estimate Households By Type Total Households Average Household Size,2.45,0.37,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.92,0.44,(X),(X)
Estimate Relationship Population In Households,778,157,778,(X)
Estimate Relationship Population In Households Householder,317,65,40.7,6.2
Estimate Relationship Population In Households Spouse,172,45,22.1,4.2
Estimate Relationship Population In Households Unmarried Partner,14,12,1.8,1.5
Estimate Relationship Population In Households Child,220,67,28.3,5.1
Estimate Relationship Population In Households Other Relatives,12,16,1.5,2.1
Estimate Relationship Population In Households Other Nonrelatives,43,40,5.5,4.6
Estimate Marital Status Males 15 Years And Over,302,63,302,(X)
Estimate Marital Status Males 15 Years And Over Never Married,59,26,19.5,8.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",190,58,62.9,11.4
Estimate Marital Status Males 15 Years And Over Separated,0,10,0.0,7.9
Estimate Marital Status Males 15 Years And Over Widowed,18,16,6.0,5.5
Estimate Marital Status Males 15 Years And Over Divorced,35,24,11.6,7.7
Estimate Marital Status Females 15 Years And Over,308,70,308,(X)
Estimate Marital Status Females 15 Years And Over Never Married,78,39,25.3,9.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",164,42,53.2,11.2
Estimate Marital Status Females 15 Years And Over Separated,3,5,1.0,1.7
Estimate Marital Status Females 15 Years And Over Widowed,41,32,13.3,9.8
Estimate Marital Status Females 15 Years And Over Divorced,22,17,7.1,5.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,2,3,2,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",2,3,100.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",23,41,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",12,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",200,360,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,229,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,323,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,10,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,10,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,10,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,10,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,174,67,174,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",25,12,14.4,6.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,9,11,5.2,6.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),91,44,52.3,10.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),26,17,14.9,7.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,23,21,13.2,11.0
Estimate Educational Attainment Population 25 Years And Over,489,93,489,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,2,4,0.4,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",4,7,0.8,1.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),184,48,37.6,9.6
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",118,46,24.1,8.9
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,94,42,19.2,7.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,77,47,15.7,8.2
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,10,12,2.0,2.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,483,91,98.8,1.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,87,55,17.8,9.3
Estimate Veteran Status Civilian Population 18 Years And Over,584,109,584,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,45,23,7.7,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,778,157,778,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,66,37,8.5,5.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,194,66,194,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,5,7,2.6,3.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,440,106,440,(X)
