Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,523,221,523,(X)
Estimate Households By Type Total Households Married-Couple Household,332,160,63.5,28.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,140,137,26.8,23.7
Estimate Households By Type Total Households Cohabiting Couple Household,0,13,0.0,6.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,6.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",125,142,23.9,21.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,6.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",31,36,5.9,7.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,6.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",66,75,12.6,12.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,6.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",31,50,5.9,9.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",31,50,5.9,9.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,140,137,26.8,23.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,45,56,8.6,11.1
Estimate Households By Type Total Households Average Household Size,2.57,0.48,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.78,0.48,(X),(X)
Estimate Relationship Population In Households,1342,643,1342,(X)
Estimate Relationship Population In Households Householder,523,221,39.0,7.4
Estimate Relationship Population In Households Spouse,306,143,22.8,9.8
Estimate Relationship Population In Households Unmarried Partner,0,13,0.0,2.8
Estimate Relationship Population In Households Child,305,260,22.7,14.8
Estimate Relationship Population In Households Other Relatives,208,278,15.5,18.2
Estimate Relationship Population In Households Other Nonrelatives,0,13,0.0,2.8
Estimate Marital Status Males 15 Years And Over,472,193,472,(X)
Estimate Marital Status Males 15 Years And Over Never Married,113,141,23.9,25.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",328,158,69.5,26.1
Estimate Marital Status Males 15 Years And Over Separated,19,31,4.0,6.9
Estimate Marital Status Males 15 Years And Over Widowed,12,19,2.5,4.5
Estimate Marital Status Males 15 Years And Over Divorced,0,13,0.0,7.6
Estimate Marital Status Females 15 Years And Over,640,353,640,(X)
Estimate Marital Status Females 15 Years And Over Never Married,91,100,14.2,12.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",310,146,48.4,32.8
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,5.7
Estimate Marital Status Females 15 Years And Over Widowed,239,281,37.3,31.4
Estimate Marital Status Females 15 Years And Over Divorced,0,13,0.0,5.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
