Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,4105,240,4105,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,2836,193,69.1,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,2836,193,69.1,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,2626,189,64.0,2.7
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,210,74,5.1,1.8
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,13,0.0,0.5
Estimate Employment Status Population 16 Years And Over Not In Labor Force,1269,133,30.9,2.6
Estimate Employment Status Civilian Labor Force,2836,193,2836,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),7.4,2.5
Estimate Employment Status Females 16 Years And Over,1922,147,1922,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1188,109,61.8,4.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1188,109,61.8,4.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,1140,107,59.3,4.7
Estimate Employment Status Own Children Of The Householder Under 6 Years,335,83,335,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,243,64,72.5,14.5
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,847,143,847,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,553,108,65.3,12.8
Estimate Commuting To Work Workers 16 Years And Over,2561,190,2561,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",1953,190,76.3,4.3
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",393,87,15.3,3.2
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,13,0.0,0.8
Estimate Commuting To Work Workers 16 Years And Over Walked,32,27,1.2,1.1
Estimate Commuting To Work Workers 16 Years And Over Other Means,14,9,0.5,0.4
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,169,58,6.6,2.2
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),15.0,2.1,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,2626,189,2626,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",716,110,27.3,3.6
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,321,76,12.2,2.7
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,388,89,14.8,3.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",215,62,8.2,2.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",986,129,37.5,4.6
Estimate Industry Civilian Employed Population 16 Years And Over,2626,189,2626,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",36,18,1.4,0.7
Estimate Industry Civilian Employed Population 16 Years And Over Construction,128,47,4.9,1.7
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1067,132,40.6,4.8
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,28,21,1.1,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,213,70,8.1,2.5
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",154,81,5.9,3.0
Estimate Industry Civilian Employed Population 16 Years And Over Information,5,6,0.2,0.2
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",111,53,4.2,2.0
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",102,32,3.9,1.2
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",369,84,14.1,3.0
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",290,84,11.0,3.0
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",76,49,2.9,1.9
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,47,22,1.8,0.9
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,2626,189,2626,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,2184,178,83.2,3.5
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,253,74,9.6,2.7
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,172,58,6.5,2.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,17,17,0.6,0.7
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,1874,129,1874,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",62,34,3.3,1.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",89,65,4.7,3.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",132,47,7.0,2.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",179,48,9.6,2.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",237,63,12.6,3.3
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",445,86,23.7,4.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",269,55,14.4,3.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",275,62,14.7,3.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",94,34,5.0,1.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",92,42,4.9,2.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),62750,7967,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),81960,10502,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,1522,122,81.2,3.9
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),84941,11621,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,557,75,29.7,4.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),19503,1573,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income,271,55,14.5,2.8
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income Mean Retirement Income (Dollars),18218,3073,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income,95,43,5.1,2.3
