Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,5117,736,5117,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,3560,643,69.6,4.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,3548,639,69.3,4.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,3418,630,66.8,5.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,130,85,2.5,1.6
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,12,19,0.2,0.4
Estimate Employment Status Population 16 Years And Over Not In Labor Force,1557,267,30.4,4.8
Estimate Employment Status Civilian Labor Force,3548,639,3548,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.7,2.4
Estimate Employment Status Females 16 Years And Over,2740,431,2740,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1706,343,62.3,5.8
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1706,343,62.3,5.8
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,1616,331,59.0,6.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,248,123,248,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,229,119,92.3,11.7
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,790,227,790,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,595,200,75.3,13.6
Estimate Commuting To Work Workers 16 Years And Over,3354,617,3354,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",2851,625,85.0,4.7
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",142,78,4.2,2.5
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,19,0.0,1.2
Estimate Commuting To Work Workers 16 Years And Over Walked,26,30,0.8,0.9
Estimate Commuting To Work Workers 16 Years And Over Other Means,0,19,0.0,1.2
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,335,113,10.0,3.6
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),39.3,2.0,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,3418,630,3418,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",1622,299,47.5,5.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,550,284,16.1,6.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,600,184,17.6,4.8
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",409,166,12.0,4.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",237,97,6.9,2.9
Estimate Industry Civilian Employed Population 16 Years And Over,3418,630,3418,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",238,243,7.0,6.3
Estimate Industry Civilian Employed Population 16 Years And Over Construction,490,172,14.3,4.7
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,249,108,7.3,3.0
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,34,31,1.0,0.9
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,390,154,11.4,4.1
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",129,92,3.8,2.7
Estimate Industry Civilian Employed Population 16 Years And Over Information,91,56,2.7,1.6
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",185,96,5.4,2.9
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",576,286,16.9,6.4
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",470,136,13.8,4.3
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",142,59,4.2,1.8
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",220,98,6.4,3.2
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,204,95,6.0,3.0
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,3418,630,3418,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,2455,376,71.8,10.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,391,131,11.4,4.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,572,506,16.7,12.6
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,0,19,0.0,1.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,2125,314,2125,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",35,33,1.6,1.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",16,18,0.8,0.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",42,32,2.0,1.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",67,39,3.2,1.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",118,61,5.6,2.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",514,278,24.2,10.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",169,69,8.0,3.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",465,122,21.9,5.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",293,87,13.8,4.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",406,121,19.1,5.6
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),109219,18586,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),135288,16501,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,1821,310,85.7,4.0
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),131621,17699,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,621,107,29.2,5.8
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),24669,2368,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income,748,293,35.2,10.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income Mean Retirement Income (Dollars),28157,14859,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income,34,35,1.6,1.6
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income Mean Supplemental Security Income (Dollars),7409,2191,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income,39,35,1.8,1.6
