Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,3632,400,3632,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,2177,319,59.9,4.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,2177,319,59.9,4.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,2078,318,57.2,5.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,99,48,2.7,1.3
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,12,0.0,1.0
Estimate Employment Status Population 16 Years And Over Not In Labor Force,1455,217,40.1,4.8
Estimate Employment Status Civilian Labor Force,2177,319,2177,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),4.5,2.2
Estimate Employment Status Females 16 Years And Over,1879,234,1879,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1046,190,55.7,6.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1046,190,55.7,6.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,1018,189,54.2,6.7
Estimate Employment Status Own Children Of The Householder Under 6 Years,318,169,318,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,125,85,39.3,25.9
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,741,199,741,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,461,164,62.2,22.5
Estimate Commuting To Work Workers 16 Years And Over,2062,315,2062,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",1730,269,83.9,6.9
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",134,94,6.5,4.2
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,12,0.0,1.7
Estimate Commuting To Work Workers 16 Years And Over Walked,40,35,1.9,1.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,20,21,1.0,1.0
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,138,105,6.7,4.7
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),22.5,2.6,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,2078,318,2078,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",778,217,37.4,7.4
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,296,70,14.2,3.6
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,450,125,21.7,5.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",247,91,11.9,3.7
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",307,86,14.8,3.9
Estimate Industry Civilian Employed Population 16 Years And Over,2078,318,2078,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",80,64,3.8,3.0
Estimate Industry Civilian Employed Population 16 Years And Over Construction,242,127,11.6,5.3
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,282,78,13.6,3.6
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,26,16,1.3,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,298,100,14.3,4.0
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",140,63,6.7,3.0
Estimate Industry Civilian Employed Population 16 Years And Over Information,10,13,0.5,0.6
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",78,60,3.8,2.8
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",114,78,5.5,3.7
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",512,119,24.6,4.7
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",140,66,6.7,3.3
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",106,52,5.1,2.4
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,50,46,2.4,2.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,2078,318,2078,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,1538,235,74.0,7.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,238,87,11.5,3.6
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,302,141,14.5,5.8
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,0,12,0.0,1.7
