Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,455,75,455,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,328,64,72.1,5.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,328,64,72.1,5.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,321,64,70.5,5.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,7,6,1.5,1.3
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,9,0.0,4.3
Estimate Employment Status Population 16 Years And Over Not In Labor Force,127,28,27.9,5.3
Estimate Employment Status Civilian Labor Force,328,64,328,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),2.1,1.8
Estimate Employment Status Females 16 Years And Over,236,52,236,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,160,44,67.8,8.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,160,44,67.8,8.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,158,44,66.9,7.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,17,10,17,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,15,10,88.2,14.1
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,59,23,59,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,43,20,72.9,17.3
Estimate Commuting To Work Workers 16 Years And Over,313,64,313,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",265,50,84.7,8.0
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",12,11,3.8,3.5
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),18,27,5.8,7.4
Estimate Commuting To Work Workers 16 Years And Over Walked,1,3,0.3,1.0
Estimate Commuting To Work Workers 16 Years And Over Other Means,7,6,2.2,2.0
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,10,6,3.2,1.7
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),24.8,2.7,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,321,64,321,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",50,16,15.6,4.4
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,83,40,25.9,8.7
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,54,21,16.8,6.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",40,16,12.5,4.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",94,29,29.3,7.7
Estimate Industry Civilian Employed Population 16 Years And Over,321,64,321,(X)
