Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,110,59,110,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,90,55,81.8,14.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,90,55,81.8,14.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,90,55,81.8,14.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,0,11,0.0,21.9
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,11,0.0,21.9
Estimate Employment Status Population 16 Years And Over Not In Labor Force,20,16,18.2,14.3
Estimate Employment Status Civilian Labor Force,90,55,90,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),0.0,25.9
Estimate Employment Status Females 16 Years And Over,50,30,50,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,44,29,88.0,14.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,44,29,88.0,14.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,44,29,88.0,14.6
Estimate Employment Status Own Children Of The Householder Under 6 Years,14,20,14,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,14,20,100.0,72.9
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,6,7,6,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,6,7,100.0,100.0
Estimate Commuting To Work Workers 16 Years And Over,90,55,90,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",74,54,82.2,19.1
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",8,11,8.9,14.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,11,0.0,25.9
Estimate Commuting To Work Workers 16 Years And Over Walked,0,11,0.0,25.9
Estimate Commuting To Work Workers 16 Years And Over Other Means,0,11,0.0,25.9
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,8,11,8.9,13.1
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),30.0,5.8,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,90,55,90,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",46,50,51.1,32.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,24,19,26.7,24.7
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,0,11,0.0,25.9
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",11,12,12.2,15.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",9,12,10.0,14.6
Estimate Industry Civilian Employed Population 16 Years And Over,90,55,90,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",33,32,36.7,21.2
Estimate Industry Civilian Employed Population 16 Years And Over Construction,1,2,1.1,2.1
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,4,7,4.4,8.0
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,0,11,0.0,25.9
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,7,12,7.8,14.2
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",1,2,1.1,2.2
Estimate Industry Civilian Employed Population 16 Years And Over Information,0,11,0.0,25.9
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",8,13,8.9,14.5
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",8,10,8.9,12.5
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",20,25,22.2,18.3
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",0,11,0.0,25.9
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",8,11,8.9,14.4
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,0,11,0.0,25.9
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,90,55,90,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,63,35,70.0,20.5
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,1,2,1.1,2.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,26,29,28.9,20.0
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,0,11,0.0,25.9
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,60,32,60,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",2,3,3.3,6.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",0,11,0.0,34.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",0,11,0.0,34.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",4,7,6.7,11.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",9,10,15.0,18.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",27,26,45.0,28.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",8,12,13.3,20.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",0,11,0.0,34.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",1,2,1.7,3.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",9,13,15.0,19.7
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),73500,11792,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),89020,32278,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,53,32,88.3,11.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),86562,29189,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,18,15,30.0,22.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),21406,4778,(X),(X)
