Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,5460,302,5460,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,3779,323,69.2,4.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,3779,323,69.2,4.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,3645,319,66.8,4.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,134,94,2.5,1.7
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,19,0.0,0.7
Estimate Employment Status Population 16 Years And Over Not In Labor Force,1681,256,30.8,4.4
Estimate Employment Status Civilian Labor Force,3779,323,3779,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.5,2.4
Estimate Employment Status Females 16 Years And Over,2735,244,2735,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1819,221,66.5,6.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1819,221,66.5,6.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,1736,214,63.5,6.3
Estimate Employment Status Own Children Of The Householder Under 6 Years,343,113,343,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,204,97,59.5,25.7
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,1212,309,1212,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,1048,311,86.5,10.6
Estimate Commuting To Work Workers 16 Years And Over,3505,367,3505,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",3056,334,87.2,4.5
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",166,104,4.7,3.0
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,19,0.0,1.1
Estimate Commuting To Work Workers 16 Years And Over Walked,27,45,0.8,1.3
Estimate Commuting To Work Workers 16 Years And Over Other Means,0,19,0.0,1.1
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,256,144,7.3,3.8
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),26.5,2.3,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,3645,319,3645,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",1823,317,50.0,7.1
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,272,130,7.5,3.6
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,680,214,18.7,5.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",285,123,7.8,3.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",585,230,16.0,6.3
Estimate Industry Civilian Employed Population 16 Years And Over,3645,319,3645,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",66,60,1.8,1.7
Estimate Industry Civilian Employed Population 16 Years And Over Construction,372,174,10.2,4.5
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,655,208,18.0,5.1
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,60,52,1.6,1.4
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,355,170,9.7,4.4
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",213,114,5.8,3.2
Estimate Industry Civilian Employed Population 16 Years And Over Information,25,36,0.7,1.0
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",182,80,5.0,2.3
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",302,159,8.3,4.1
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",981,170,26.9,5.1
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",81,60,2.2,1.7
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",69,64,1.9,1.8
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,284,157,7.8,4.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,3645,319,3645,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,2744,438,75.3,7.6
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,764,243,21.0,7.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,135,93,3.7,2.6
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,2,13,0.1,0.4
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,2294,182,2294,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",46,53,2.0,2.3
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",0,19,0.0,1.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",87,61,3.8,2.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",30,33,1.3,1.5
