Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,1699,196,1699,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,1103,127,64.9,5.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,1099,126,64.7,5.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,1017,123,59.9,5.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,82,42,4.8,2.4
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,4,6,0.2,0.3
Estimate Employment Status Population 16 Years And Over Not In Labor Force,596,134,35.1,5.4
Estimate Employment Status Civilian Labor Force,1099,126,1099,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),7.5,3.7
Estimate Employment Status Females 16 Years And Over,828,110,828,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,470,71,56.8,7.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,470,71,56.8,7.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,457,70,55.2,7.0
Estimate Employment Status Own Children Of The Householder Under 6 Years,91,33,91,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,74,29,81.3,15.1
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,210,71,210,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,171,70,81.4,11.9
Estimate Commuting To Work Workers 16 Years And Over,1006,124,1006,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",759,113,75.4,5.3
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",73,32,7.3,3.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),6,6,0.6,0.6
Estimate Commuting To Work Workers 16 Years And Over Walked,12,15,1.2,1.5
Estimate Commuting To Work Workers 16 Years And Over Other Means,29,17,2.9,1.6
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,127,45,12.6,4.0
