Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,12824,352,12824,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,8669,539,67.6,4.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,8669,539,67.6,4.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,8374,526,65.3,4.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,295,141,2.3,1.1
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,21,0.0,0.3
Estimate Employment Status Population 16 Years And Over Not In Labor Force,4155,587,32.4,4.3
Estimate Employment Status Civilian Labor Force,8669,539,8669,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.4,1.6
Estimate Employment Status Females 16 Years And Over,6368,396,6368,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,4126,376,64.8,4.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,4126,376,64.8,4.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,4034,358,63.3,4.7
Estimate Employment Status Own Children Of The Householder Under 6 Years,836,242,836,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,680,264,81.3,15.9
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,2073,374,2073,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,1568,368,75.6,12.1
Estimate Commuting To Work Workers 16 Years And Over,8272,517,8272,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",6129,457,74.1,4.9
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",845,292,10.2,3.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),73,65,0.9,0.8
Estimate Commuting To Work Workers 16 Years And Over Walked,39,40,0.5,0.5
Estimate Commuting To Work Workers 16 Years And Over Other Means,38,44,0.5,0.5
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,1148,395,13.9,4.4
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),25.4,2.2,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,8374,526,8374,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",4456,442,53.2,4.4
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,991,247,11.8,2.8
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,1327,286,15.8,3.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",651,200,7.8,2.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",949,273,11.3,3.2
Estimate Industry Civilian Employed Population 16 Years And Over,8374,526,8374,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",95,114,1.1,1.4
Estimate Industry Civilian Employed Population 16 Years And Over Construction,435,166,5.2,2.0
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1053,229,12.6,2.5
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,214,96,2.6,1.2
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,983,263,11.7,2.9
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",285,105,3.4,1.2
