Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,55573,786,55573,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,39835,1009,71.7,1.7
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,39771,1033,71.6,1.7
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,38081,948,68.5,1.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,1690,404,3.0,0.7
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,64,78,0.1,0.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,15738,1006,28.3,1.7
Estimate Employment Status Civilian Labor Force,39771,1033,39771,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),4.2,1.0
Estimate Employment Status Females 16 Years And Over,29082,839,29082,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,20449,861,70.3,2.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,20406,875,70.2,2.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,19694,891,67.7,2.3
Estimate Employment Status Own Children Of The Householder Under 6 Years,2954,528,2954,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,2385,470,80.7,6.8
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,5356,652,5356,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,4420,628,82.5,6.3
Estimate Commuting To Work Workers 16 Years And Over,36856,1017,36856,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",19168,944,52.0,2.5
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",2947,673,8.0,1.8
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),5937,648,16.1,1.7
Estimate Commuting To Work Workers 16 Years And Over Walked,2454,403,6.7,1.1
Estimate Commuting To Work Workers 16 Years And Over Other Means,1074,306,2.9,0.8
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,5276,701,14.3,1.8
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),30.2,0.9,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,38081,948,38081,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",21176,1155,55.6,2.7
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,5869,747,15.4,1.9
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,7261,775,19.1,2.0
