Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,34327,598,34327,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,24650,732,71.8,1.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,24650,732,71.8,1.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,22898,809,66.7,2.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,1752,487,5.1,1.4
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,28,0.0,0.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,9677,706,28.2,1.9
Estimate Employment Status Civilian Labor Force,24650,732,24650,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),7.1,1.9
Estimate Employment Status Females 16 Years And Over,17528,537,17528,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,11727,563,66.9,2.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,11727,563,66.9,2.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,11085,580,63.2,2.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,2590,488,2590,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,1992,439,76.9,9.9
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,4919,531,4919,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,3975,568,80.8,6.4
Estimate Commuting To Work Workers 16 Years And Over,22425,801,22425,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",15819,827,70.5,3.1
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",2241,506,10.0,2.2
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),1079,285,4.8,1.3
Estimate Commuting To Work Workers 16 Years And Over Walked,378,147,1.7,0.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,340,197,1.5,0.9
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,2568,577,11.5,2.5
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),25.6,1.2,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,22898,809,22898,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",11236,812,49.1,3.0
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,3832,579,16.7,2.5
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,4439,506,19.4,2.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1385,265,6.0,1.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",2006,487,8.8,2.1
Estimate Industry Civilian Employed Population 16 Years And Over,22898,809,22898,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",31,29,0.1,0.1
Estimate Industry Civilian Employed Population 16 Years And Over Construction,1304,279,5.7,1.2
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,2730,540,11.9,2.3
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,448,176,2.0,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,2398,390,10.5,1.7
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",801,234,3.5,1.0
Estimate Industry Civilian Employed Population 16 Years And Over Information,536,209,2.3,0.9
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",1420,294,6.2,1.3
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",3689,476,16.1,2.0
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",6043,646,26.4,2.6
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",1750,344,7.6,1.5
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",1035,273,4.5,1.2
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,713,255,3.1,1.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,22898,809,22898,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,18893,875,82.5,2.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,2843,503,12.4,2.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,1105,245,4.8,1.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,57,65,0.2,0.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,16292,468,16292,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",564,187,3.5,1.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",362,139,2.2,0.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",861,224,5.3,1.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",985,259,6.0,1.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",1379,325,8.5,2.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",1934,419,11.9,2.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",2432,378,14.9,2.3
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",2956,389,18.1,2.3
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",2072,321,12.7,2.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",2747,368,16.9,2.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),95184,4455,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),125532,6757,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,13554,511,83.2,2.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),127717,7719,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,4679,405,28.7,2.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),19522,1538,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income,3311,436,20.3,2.5
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income Mean Retirement Income (Dollars),30130,5621,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income,827,251,5.1,1.5
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income Mean Supplemental Security Income (Dollars),11752,1336,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income,589,185,3.6,1.1
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income Mean Cash Public Assistance Income (Dollars),6078,2387,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Food Stamp/Snap Benefits In The Past 12 Months,1168,313,7.2,1.9
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families,10363,378,10363,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families Less Than $10,000",225,130,2.2,1.3
